Time (hr:min:sec),Time (s),Serial data,Resistance
8:30:01,1,356,111282.0513
8:30:02,2,356,111282.0513
8:30:03,3,355,110445.8599
8:30:04,4,355,110445.8599
8:30:05,5,355,110445.8599
8:30:06,6,355,110445.8599
8:30:07,7,355,110445.8599
8:30:08,8,353,108805.0314
8:30:09,9,353,108805.0314
8:30:10,10,353,108805.0314
8:30:11,11,353,108805.0314
8:30:12,12,353,108805.0314
8:30:13,13,353,108805.0314
8:30:14,14,352,108000
8:30:15,15,352,108000
8:30:16,16,352,108000
8:30:17,17,352,108000
8:30:18,18,351,107204.9689
8:30:19,19,351,107204.9689
8:30:20,20,351,107204.9689
8:30:21,21,351,107204.9689
8:30:22,22,349,105644.1718
8:30:23,23,350,106419.7531
8:30:24,24,349,105644.1718
8:30:25,25,349,105644.1718
8:30:26,26,349,105644.1718
8:30:27,27,349,105644.1718
8:30:28,28,348,104878.0488
8:30:29,29,349,105644.1718
8:30:30,30,347,104121.2121
8:30:31,31,347,104121.2121
8:30:32,32,346,103373.494
8:30:33,33,352,108000
8:30:34,34,367,121241.3793
8:30:35,35,364,118378.3784
8:30:36,36,364,118378.3784
8:30:37,37,363,117449.6644
8:30:38,38,363,117449.6644
8:30:39,39,361,115629.1391
8:30:40,40,361,115629.1391
8:30:41,41,360,114736.8421
8:30:42,42,359,113856.2092
8:30:43,43,359,113856.2092
8:30:44,44,359,113856.2092
8:30:45,45,358,112987.013
8:30:46,46,358,112987.013
8:30:47,47,357,112129.0323
8:30:48,48,356,111282.0513
8:30:49,49,358,112987.013
8:30:50,50,357,112129.0323
8:30:51,51,357,112129.0323
8:30:52,52,358,112987.013
8:30:53,53,357,112129.0323
8:30:54,54,356,111282.0513
8:30:55,55,357,112129.0323
8:30:56,56,356,111282.0513
8:30:57,57,357,112129.0323
8:30:58,58,356,111282.0513
8:30:59,59,356,111282.0513
8:31:00,60,356,111282.0513
8:31:01,61,355,110445.8599
8:31:02,62,355,110445.8599
8:31:03,63,355,110445.8599
8:31:04,64,355,110445.8599
8:31:05,65,354,109620.2532
8:31:06,66,353,108805.0314
8:31:07,67,353,108805.0314
8:31:08,68,352,108000
8:31:09,69,352,108000
8:31:10,70,351,107204.9689
8:31:11,71,351,107204.9689
8:31:12,72,351,107204.9689
8:31:13,73,351,107204.9689
8:31:14,74,351,107204.9689
8:31:15,75,351,107204.9689
8:31:16,76,351,107204.9689
8:31:17,77,352,108000
8:31:18,78,351,107204.9689
8:31:19,79,351,107204.9689
8:31:20,80,352,108000
8:31:21,81,352,108000
8:31:22,82,352,108000
8:31:23,83,351,107204.9689
8:31:24,84,352,108000
8:31:25,85,353,108805.0314
8:31:26,86,352,108000
8:31:27,87,352,108000
8:31:28,88,352,108000
8:31:29,89,351,107204.9689
8:31:30,90,351,107204.9689
8:31:31,91,351,107204.9689
8:31:32,92,350,106419.7531
8:31:33,93,350,106419.7531
8:31:34,94,349,105644.1718
8:31:35,95,348,104878.0488
8:31:36,96,349,105644.1718
8:31:37,97,349,105644.1718
8:31:38,98,348,104878.0488
8:31:39,99,349,105644.1718
