Time (s),Serial data,Resistance
1,380,135151.51515151517
2,379,133984.96240601502
3,378,132835.8208955224
4,377,131703.7037037037
5,379,133984.96240601502
6,376,130588.23529411765
7,374,128405.79710144928
8,376,130588.23529411765
9,373,127338.12949640288
10,375,129489.0510948905
11,373,127338.12949640288
12,372,126285.71428571428
13,371,125248.22695035461
14,370,124225.35211267606
15,372,126285.71428571428
16,370,124225.35211267606
17,370,124225.35211267606
18,370,124225.35211267606
19,372,126285.71428571428
20,368,122222.22222222222
21,369,123216.78321678322
22,368,122222.22222222222
23,367,121241.37931034483
24,367,121241.37931034483
25,368,122222.22222222222
26,367,121241.37931034483
27,366,120273.97260273971
28,365,119319.72789115646
29,365,119319.72789115646
30,366,120273.97260273971
31,365,119319.72789115646
32,366,120273.97260273971
33,364,118378.37837837839
34,365,119319.72789115646
35,363,117449.6644295302
36,364,118378.37837837839
37,363,117449.6644295302
38,363,117449.6644295302
39,364,118378.37837837839
40,362,116533.33333333334
41,364,118378.37837837839
42,362,116533.33333333334
43,363,117449.6644295302
44,362,116533.33333333334
45,361,115629.13907284768
46,361,115629.13907284768
47,360,114736.84210526315
48,360,114736.84210526315
49,359,113856.2091503268
50,359,113856.2091503268
51,357,112129.03225806452
52,365,119319.72789115646
53,366,120273.97260273971
54,362,116533.33333333334
55,360,114736.84210526315
56,361,115629.13907284768
57,360,114736.84210526315
58,359,113856.2091503268
59,359,113856.2091503268
60,358,112987.01298701299
61,358,112987.01298701299
62,357,112129.03225806452
63,358,112987.01298701299
64,358,112987.01298701299
65,358,112987.01298701299
66,358,112987.01298701299
67,361,115629.13907284768
68,362,116533.33333333334
69,361,115629.13907284768
70,361,115629.13907284768
71,360,114736.84210526315
72,360,114736.84210526315
73,360,114736.84210526315
74,360,114736.84210526315
75,359,113856.2091503268
76,359,113856.2091503268
77,359,113856.2091503268
78,359,113856.2091503268
79,358,112987.01298701299
80,359,113856.2091503268
81,359,113856.2091503268
82,358,112987.01298701299
83,357,112129.03225806452
84,357,112129.03225806452
85,357,112129.03225806452
86,357,112129.03225806452
87,357,112129.03225806452
88,359,113856.2091503268
89,358,112987.01298701299
90,357,112129.03225806452
91,357,112129.03225806452
92,357,112129.03225806452
93,357,112129.03225806452
94,356,111282.05128205128
95,356,111282.05128205128
96,357,112129.03225806452
97,355,110445.85987261147
98,356,111282.05128205128
99,356,111282.05128205128
100,356,111282.05128205128
101,356,111282.05128205128
102,354,109620.25316455695
103,359,113856.2091503268
104,358,112987.01298701299
105,356,111282.05128205128
106,353,108805.03144654089
107,358,112987.01298701299
108,356,111282.05128205128
109,356,111282.05128205128
110,355,110445.85987261147
111,354,109620.25316455695
112,353,108805.03144654089
113,351,107204.96894409937
114,356,111282.05128205128
115,361,115629.13907284768
116,364,118378.37837837839
117,365,119319.72789115646
118,361,115629.13907284768
119,361,115629.13907284768
120,360,114736.84210526315
121,358,112987.01298701299
122,358,112987.01298701299
123,356,111282.05128205128
124,358,112987.01298701299
125,363,117449.6644295302
126,360,114736.84210526315
127,358,112987.01298701299
128,355,110445.85987261147
129,354,109620.25316455695
130,362,116533.33333333334
131,378,132835.8208955224
132,374,128405.79710144928
133,381,136335.8778625954
134,372,126285.71428571428
135,367,121241.37931034483
136,364,118378.37837837839
137,361,115629.13907284768
138,358,112987.01298701299
139,380,135151.51515151517
140,373,127338.12949640288
141,371,125248.22695035461
142,370,124225.35211267606
143,365,119319.72789115646
144,328,91304.34782608696
145,300,76603.77358490566
146,361,115629.13907284768
147,361,115629.13907284768
148,363,117449.6644295302
149,364,118378.37837837839
150,359,113856.2091503268
151,373,127338.12949640288
152,362,116533.33333333334
153,363,117449.6644295302
154,368,122222.22222222222
155,375,129489.0510948905
156,365,119319.72789115646
157,363,117449.6644295302
158,359,113856.2091503268
159,358,112987.01298701299
160,357,112129.03225806452
161,355,110445.85987261147
162,355,110445.85987261147
163,354,109620.25316455695
164,353,108805.03144654089
165,352,108000.0
166,353,108805.03144654089
167,352,108000.0
168,351,107204.96894409937
169,351,107204.96894409937
170,350,106419.75308641975
171,351,107204.96894409937
172,349,105644.1717791411
173,348,104878.0487804878
174,350,106419.75308641975
175,349,105644.1717791411
176,348,104878.0487804878
177,348,104878.0487804878
178,348,104878.0487804878
179,346,103373.49397590362
180,346,103373.49397590362
181,351,107204.96894409937
182,352,108000.0
183,366,120273.97260273971
184,355,110445.85987261147
185,352,108000.0
186,348,104878.0487804878
187,347,104121.21212121213
188,345,102634.73053892216
189,343,101183.43195266272
190,345,102634.73053892216
191,344,101904.7619047619
192,342,100470.58823529411
193,346,103373.49397590362
194,350,106419.75308641975
195,348,104878.0487804878
196,346,103373.49397590362
197,344,101904.7619047619
198,342,100470.58823529411
199,340,99069.76744186046
200,338,97701.14942528735
201,339,98381.5028901734
202,339,98381.5028901734
203,337,97028.57142857143
204,335,95706.21468926553
205,335,95706.21468926553
206,335,95706.21468926553
207,336,96363.63636363637
208,334,95056.17977528089
209,332,93777.77777777778
210,332,93777.77777777778
211,337,97028.57142857143
212,343,101183.43195266272
213,342,100470.58823529411
214,339,98381.5028901734
215,342,100470.58823529411
216,336,96363.63636363637
217,339,98381.5028901734
218,338,97701.14942528735
219,337,97028.57142857143
220,336,96363.63636363637
221,335,95706.21468926553
222,332,93777.77777777778
223,333,94413.40782122905
224,331,93149.17127071823
225,334,95056.17977528089
226,345,102634.73053892216
227,349,105644.1717791411
228,343,101183.43195266272
229,345,102634.73053892216
230,341,99766.08187134503
231,338,97701.14942528735
232,334,95056.17977528089
233,333,94413.40782122905
234,332,93777.77777777778
235,331,93149.17127071823
236,331,93149.17127071823
237,329,91912.56830601093
238,328,91304.34782608696
239,328,91304.34782608696
240,328,91304.34782608696
241,327,90702.7027027027
242,327,90702.7027027027
243,326,90107.52688172043
244,325,89518.7165775401
245,325,89518.7165775401
246,324,88936.17021276595
247,323,88359.78835978835
248,324,88936.17021276595
249,324,88936.17021276595
250,324,88936.17021276595
251,322,87789.47368421052
252,322,87789.47368421052
253,322,87789.47368421052
254,320,86666.66666666666
255,321,87225.13089005236
256,320,86666.66666666666
257,322,87789.47368421052
258,321,87225.13089005236
259,320,86666.66666666666
260,318,85567.01030927835
261,318,85567.01030927835
262,319,86113.9896373057
263,319,86113.9896373057
264,319,86113.9896373057
265,318,85567.01030927835
266,318,85567.01030927835
267,317,85025.64102564103
268,317,85025.64102564103
269,317,85025.64102564103
270,317,85025.64102564103
271,318,85567.01030927835
272,316,84489.79591836734
273,316,84489.79591836734
274,316,84489.79591836734
275,317,85025.64102564103
276,316,84489.79591836734
277,316,84489.79591836734
278,315,83959.39086294416
279,317,85025.64102564103
280,315,83959.39086294416
281,315,83959.39086294416
282,314,83434.34343434345
283,315,83959.39086294416
284,317,85025.64102564103
285,314,83434.34343434345
286,318,85567.01030927835
287,318,85567.01030927835
288,318,85567.01030927835
289,317,85025.64102564103
290,318,85567.01030927835
291,318,85567.01030927835
292,316,84489.79591836734
293,317,85025.64102564103
294,317,85025.64102564103
295,316,84489.79591836734
296,316,84489.79591836734
297,315,83959.39086294416
298,316,84489.79591836734
299,317,85025.64102564103
300,316,84489.79591836734
301,315,83959.39086294416
302,317,85025.64102564103
303,315,83959.39086294416
304,318,85567.01030927835
305,322,87789.47368421052
306,323,88359.78835978835
307,321,87225.13089005236
308,321,87225.13089005236
309,321,87225.13089005236
310,319,86113.9896373057
311,318,85567.01030927835
312,316,84489.79591836734
313,318,85567.01030927835
314,314,83434.34343434345
315,314,83434.34343434345
316,322,87789.47368421052
317,316,84489.79591836734
318,318,85567.01030927835
319,321,87225.13089005236
320,318,85567.01030927835
321,317,85025.64102564103
322,323,88359.78835978835
323,324,88936.17021276595
324,322,87789.47368421052
325,315,83959.39086294416
326,316,84489.79591836734
327,315,83959.39086294416
328,315,83959.39086294416
329,318,85567.01030927835
330,316,84489.79591836734
331,316,84489.79591836734
332,315,83959.39086294416
333,314,83434.34343434345
334,314,83434.34343434345
335,315,83959.39086294416
336,314,83434.34343434345
337,314,83434.34343434345
338,313,82914.57286432161
339,313,82914.57286432161
340,313,82914.57286432161
341,312,82400.0
342,311,81890.54726368158
343,312,82400.0
344,311,81890.54726368158
345,310,81386.13861386139
346,310,81386.13861386139
347,312,82400.0
348,311,81890.54726368158
349,310,81386.13861386139
350,316,84489.79591836734
351,312,82400.0
352,310,81386.13861386139
353,321,87225.13089005236
354,318,85567.01030927835
355,322,87789.47368421052
356,317,85025.64102564103
357,316,84489.79591836734
358,317,85025.64102564103
359,315,83959.39086294416
360,316,84489.79591836734
361,316,84489.79591836734
362,320,86666.66666666666
363,324,88936.17021276595
364,321,87225.13089005236
365,319,86113.9896373057
366,320,86666.66666666666
367,318,85567.01030927835
368,316,84489.79591836734
369,316,84489.79591836734
370,318,85567.01030927835
371,318,85567.01030927835
372,316,84489.79591836734
373,315,83959.39086294416
374,314,83434.34343434345
375,315,83959.39086294416
376,313,82914.57286432161
377,314,83434.34343434345
378,313,82914.57286432161
379,315,83959.39086294416
380,314,83434.34343434345
381,312,82400.0
382,312,82400.0
383,313,82914.57286432161
384,313,82914.57286432161
385,313,82914.57286432161
386,313,82914.57286432161
387,314,83434.34343434345
388,313,82914.57286432161
389,312,82400.0
390,311,81890.54726368158
391,313,82914.57286432161
392,312,82400.0
393,312,82400.0
394,314,83434.34343434345
395,313,82914.57286432161
396,312,82400.0
397,311,81890.54726368158
398,313,82914.57286432161
399,313,82914.57286432161
400,313,82914.57286432161
401,312,82400.0
402,311,81890.54726368158
403,311,81890.54726368158
404,310,81386.13861386139
405,310,81386.13861386139
406,310,81386.13861386139
407,310,81386.13861386139
408,312,82400.0
409,309,80886.69950738916
410,309,80886.69950738916
411,309,80886.69950738916
412,315,83959.39086294416
413,312,82400.0
414,316,84489.79591836734
415,315,83959.39086294416
416,315,83959.39086294416
417,315,83959.39086294416
418,314,83434.34343434345
419,315,83959.39086294416
420,313,82914.57286432161
421,313,82914.57286432161
422,313,82914.57286432161
423,313,82914.57286432161
424,310,81386.13861386139
