Time (s),Serial data,Resistance
1,115,31586.90176322418
2,117,31848.101265822785
3,119,32111.959287531805
4,120,32244.897959183672
5,123,32647.814910025707
6,117,31848.101265822785
7,118,31979.695431472082
8,120,32244.897959183672
9,117,31848.101265822785
10,118,31979.695431472082
11,117,31848.101265822785
12,117,31848.101265822785
13,121,32378.51662404092
14,119,32111.959287531805
15,119,32111.959287531805
16,120,32244.897959183672
17,120,32244.897959183672
18,118,31979.695431472082
19,117,31848.101265822785
20,117,31848.101265822785
21,118,31979.695431472082
22,119,32111.959287531805
23,118,31979.695431472082
24,120,32244.897959183672
25,115,31586.90176322418
26,115,31586.90176322418
27,115,31586.90176322418
28,116,31717.171717171717
29,115,31586.90176322418
30,116,31717.171717171717
31,116,31717.171717171717
32,116,31717.171717171717
33,116,31717.171717171717
34,117,31848.101265822785
35,116,31717.171717171717
36,116,31717.171717171717
37,117,31848.101265822785
38,117,31848.101265822785
39,116,31717.171717171717
40,118,31979.695431472082
41,121,32378.51662404092
42,127,33194.805194805194
43,121,32378.51662404092
44,116,31717.171717171717
45,115,31586.90176322418
46,114,31457.286432160803
47,115,31586.90176322418
48,117,31848.101265822785
49,117,31848.101265822785
50,119,32111.959287531805
51,117,31848.101265822785
52,118,31979.695431472082
53,119,32111.959287531805
54,118,31979.695431472082
55,118,31979.695431472082
56,119,32111.959287531805
57,119,32111.959287531805
58,119,32111.959287531805
59,119,32111.959287531805
60,117,31848.101265822785
61,117,31848.101265822785
62,118,31979.695431472082
63,118,31979.695431472082
64,118,31979.695431472082
65,119,32111.959287531805
66,119,32111.959287531805
67,119,32111.959287531805
68,121,32378.51662404092
69,118,31979.695431472082
70,120,32244.897959183672
71,122,32512.82051282051
72,124,32783.50515463918
73,120,32244.897959183672
74,119,32111.959287531805
75,120,32244.897959183672
76,125,32919.89664082687
77,124,32783.50515463918
78,122,32512.82051282051
79,120,32244.897959183672
80,120,32244.897959183672
81,120,32244.897959183672
82,121,32378.51662404092
83,119,32111.959287531805
84,120,32244.897959183672
85,120,32244.897959183672
86,123,32647.814910025707
87,120,32244.897959183672
88,122,32512.82051282051
89,121,32378.51662404092
90,120,32244.897959183672
91,122,32512.82051282051
92,122,32512.82051282051
93,122,32512.82051282051
94,124,32783.50515463918
95,126,33056.99481865285
96,123,32647.814910025707
97,124,32783.50515463918
98,124,32783.50515463918
99,123,32647.814910025707
100,124,32783.50515463918
101,124,32783.50515463918
102,124,32783.50515463918
103,123,32647.814910025707
104,123,32647.814910025707
105,124,32783.50515463918
106,125,32919.89664082687
107,124,32783.50515463918
108,123,32647.814910025707
109,124,32783.50515463918
110,124,32783.50515463918
111,124,32783.50515463918
112,125,32919.89664082687
113,125,32919.89664082687
114,125,32919.89664082687
115,125,32919.89664082687
116,126,33056.99481865285
117,124,32783.50515463918
118,125,32919.89664082687
119,125,32919.89664082687
120,125,32919.89664082687
121,125,32919.89664082687
122,126,33056.99481865285
123,128,33333.333333333336
124,128,33333.333333333336
125,127,33194.805194805194
126,126,33056.99481865285
127,125,32919.89664082687
128,125,32919.89664082687
129,127,33194.805194805194
130,128,33333.333333333336
131,129,33472.58485639687
132,129,33472.58485639687
133,127,33194.805194805194
134,128,33333.333333333336
135,126,33056.99481865285
136,128,33333.333333333336
