Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,Section,Stressed
13:00:01,1,211,48039.86711,20.81604426,65,Lab,3
13:00:02,2,211,48039.86711,20.81604426,65,Lab,3
13:00:03,3,211,48039.86711,20.81604426,65,Lab,3
13:00:04,4,211,48039.86711,20.81604426,65,Lab,3
13:00:05,5,211,48039.86711,20.81604426,65,Lab,3
13:00:06,6,211,48039.86711,20.81604426,65,Lab,3
13:00:07,7,211,48039.86711,20.81604426,65,Lab,3
13:00:08,8,211,48039.86711,20.81604426,65,Lab,3
13:00:09,9,211,48039.86711,20.81604426,65,Lab,3
13:00:10,10,211,48039.86711,20.81604426,77,Lab,3
13:00:11,11,211,48039.86711,20.81604426,77,Lab,3
13:00:12,12,211,48039.86711,20.81604426,79,Lab,3
13:00:13,13,211,48039.86711,20.81604426,79,Lab,3
13:00:14,14,211,48039.86711,20.81604426,78,Lab,3
13:00:15,15,212,48266.66667,20.71823204,77,Lab,3
13:00:16,16,212,48266.66667,20.71823204,78,Lab,3
13:00:17,17,211,48039.86711,20.81604426,77,Lab,3
13:00:18,18,211,48039.86711,20.81604426,76,Lab,3
13:00:19,19,211,48039.86711,20.81604426,77,Lab,3
13:00:20,20,212,48266.66667,20.71823204,76,Lab,3
13:00:21,21,211,48039.86711,20.81604426,77,Lab,3
13:00:22,22,212,48266.66667,20.71823204,77,Lab,3
13:00:23,23,212,48266.66667,20.71823204,77,Lab,3
13:00:24,24,212,48266.66667,20.71823204,78,Lab,3
13:00:25,25,212,48266.66667,20.71823204,77,Lab,3
13:00:26,26,212,48266.66667,20.71823204,78,Lab,3
13:00:27,27,212,48266.66667,20.71823204,79,Lab,3
13:00:28,28,212,48266.66667,20.71823204,79,Lab,3
13:00:29,29,212,48266.66667,20.71823204,80,Lab,3
13:00:30,30,212,48266.66667,20.71823204,80,Lab,3
13:00:31,31,212,48266.66667,20.71823204,81,Lab,3
13:00:32,32,212,48266.66667,20.71823204,75,Lab,3
13:00:33,33,212,48266.66667,20.71823204,76,Lab,3
13:00:34,34,212,48266.66667,20.71823204,79,Lab,3
13:00:35,35,213,48494.98328,20.62068965,79,Lab,3
13:00:36,36,213,48494.98328,20.62068965,83,Lab,3
13:00:37,37,213,48494.98328,20.62068965,83,Lab,3
13:00:38,38,213,48494.98328,20.62068965,89,Lab,3
13:00:39,39,212,48266.66667,20.71823204,87,Lab,3
13:00:40,40,212,48266.66667,20.71823204,86,Lab,3
13:00:41,41,212,48266.66667,20.71823204,86,Lab,3
13:00:42,42,212,48266.66667,20.71823204,82,Lab,3
13:00:43,43,212,48266.66667,20.71823204,81,Lab,3
13:00:44,44,212,48266.66667,20.71823204,77,Lab,3
13:00:45,45,212,48266.66667,20.71823204,76,Lab,3
13:00:46,46,213,48494.98328,20.62068965,76,Lab,3
13:00:47,47,212,48266.66667,20.71823204,77,Lab,3
13:00:48,48,213,48494.98328,20.62068965,76,Lab,3
13:00:49,49,213,48494.98328,20.62068965,77,Lab,3
13:00:50,50,213,48494.98328,20.62068965,78,Lab,3
13:00:51,51,213,48494.98328,20.62068965,77,Lab,3
13:00:52,52,213,48494.98328,20.62068965,76,Lab,3
13:00:53,53,213,48494.98328,20.62068965,75,Lab,3
13:00:54,54,212,48266.66667,20.71823204,75,Lab,3
13:00:55,55,213,48494.98328,20.62068965,75,Lab,3
13:00:56,56,212,48266.66667,20.71823204,75,Lab,3
13:00:57,57,214,48724.83221,20.52341598,76,Lab,3
13:00:58,58,213,48494.98328,20.62068965,77,Lab,3
13:00:59,59,212,48266.66667,20.71823204,77,Lab,3
13:01:00,60,212,48266.66667,20.71823204,77,Lab,3
13:01:01,61,212,48266.66667,20.71823204,77,Lab,3
13:01:02,62,213,48494.98328,20.62068965,77,Lab,3
13:01:03,63,212,48266.66667,20.71823204,73,Lab,3
13:01:04,64,213,48494.98328,20.62068965,73,Lab,3
13:01:05,65,213,48494.98328,20.62068965,68,Lab,3
13:01:06,66,213,48494.98328,20.62068965,68,Lab,3
13:01:07,67,212,48266.66667,20.71823204,68,Lab,3
