Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,Section,Stressed
12:00:01,1,225,51358.88502,19.47082768,68,Relax,2
12:00:02,2,224,51111.11111,19.56521739,68,Relax,2
12:00:03,3,224,51111.11111,19.56521739,69,Relax,2
12:00:04,4,225,51358.88502,19.47082768,68,Relax,2
12:00:05,5,224,51111.11111,19.56521739,68,Relax,2
12:00:06,6,224,51111.11111,19.56521739,69,Relax,2
12:00:07,7,225,51358.88502,19.47082768,68,Relax,2
12:00:08,8,224,51111.11111,19.56521739,68,Relax,2
12:00:09,9,224,51111.11111,19.56521739,69,Relax,2
12:00:10,10,226,51608.39161,19.37669377,65,Relax,2
12:00:11,11,225,51358.88502,19.47082768,60,Relax,2
12:00:12,12,225,51358.88502,19.47082768,68,Relax,2
12:00:13,13,224,51111.11111,19.56521739,68,Relax,2
12:00:14,14,224,51111.11111,19.56521739,69,Relax,2
12:00:15,15,224,51111.11111,19.56521739,68,Relax,2
12:00:16,16,225,51358.88502,19.47082768,68,Relax,2
12:00:17,17,224,51111.11111,19.56521739,67,Relax,2
12:00:18,18,224,51111.11111,19.56521739,67,Relax,2
12:00:19,19,224,51111.11111,19.56521739,68,Relax,2
12:00:20,20,224,51111.11111,19.56521739,67,Relax,2
12:00:21,21,224,51111.11111,19.56521739,66,Relax,2
12:00:22,22,225,51358.88502,19.47082768,69,Relax,2
12:00:23,23,227,51859.64912,19.28281462,69,Relax,2
12:00:24,24,226,51608.39161,19.37669377,69,Relax,2
12:00:25,25,225,51358.88502,19.47082768,69,Relax,2
12:00:26,26,225,51358.88502,19.47082768,66,Relax,2
12:00:27,27,226,51608.39161,19.37669377,66,Relax,2
12:00:28,28,225,51358.88502,19.47082768,66,Relax,2
12:00:29,29,224,51111.11111,19.56521739,66,Relax,2
12:00:30,30,225,51358.88502,19.47082768,66,Relax,2
12:00:31,31,228,52112.67606,19.18918919,66,Relax,2
12:00:32,32,229,52367.49117,19.09581646,66,Relax,2
12:00:33,33,227,51859.64912,19.28281462,66,Relax,2
12:00:34,34,227,51859.64912,19.28281462,66,Relax,2
12:00:35,35,228,52112.67606,19.18918919,66,Relax,2
12:00:36,36,228,52112.67606,19.18918919,69,Relax,2
12:00:37,37,227,51859.64912,19.28281462,66,Relax,2
12:00:38,38,227,51859.64912,19.28281462,66,Relax,2
12:00:39,39,226,51608.39161,19.37669377,70,Relax,2
12:00:40,40,228,52112.67606,19.18918919,69,Relax,2
12:00:41,41,227,51859.64912,19.28281462,70,Relax,2
12:00:42,42,227,51859.64912,19.28281462,69,Relax,2
12:00:43,43,227,51859.64912,19.28281462,68,Relax,2
12:00:44,44,226,51608.39161,19.37669377,68,Relax,2
12:00:45,45,226,51608.39161,19.37669377,66,Relax,2
12:00:46,46,227,51859.64912,19.28281462,69,Relax,2
12:00:47,47,227,51859.64912,19.28281462,68,Relax,2
12:00:48,48,227,51859.64912,19.28281462,67,Relax,2
12:00:49,49,226,51608.39161,19.37669377,68,Relax,2
12:00:50,50,226,51608.39161,19.37669377,69,Relax,2
12:00:51,51,226,51608.39161,19.37669377,68,Relax,2
12:00:52,52,226,51608.39161,19.37669377,72,Relax,2
12:00:53,53,226,51608.39161,19.37669377,71,Relax,2
12:00:54,54,226,51608.39161,19.37669377,71,Relax,2
12:00:55,55,226,51608.39161,19.37669377,70,Relax,2
12:00:56,56,226,51608.39161,19.37669377,72,Relax,2
12:00:57,57,226,51608.39161,19.37669377,73,Relax,2
12:00:58,58,226,51608.39161,19.37669377,73,Relax,2
12:00:59,59,226,51608.39161,19.37669377,73,Relax,2
12:01:00,60,226,51608.39161,19.37669377,73,Relax,2
12:01:01,61,226,51608.39161,19.37669377,73,Relax,2
12:01:02,62,225,51358.88502,19.47082768,72,Relax,2
12:01:03,63,225,51358.88502,19.47082768,72,Relax,2
12:01:04,64,225,51358.88502,19.47082768,70,Relax,2
12:01:05,65,225,51358.88502,19.47082768,70,Relax,2
12:01:06,66,227,51859.64912,19.28281462,70,Relax,2
12:01:07,67,225,51358.88502,19.47082768,67,Relax,2
12:01:08,68,226,51608.39161,19.37669377,70,Relax,2
12:01:09,69,226,51608.39161,19.37669377,70,Relax,2
12:01:10,70,226,51608.39161,19.37669377,68,Relax,2
12:01:11,71,225,51358.88502,19.47082768,70,Relax,2
12:01:12,72,226,51608.39161,19.37669377,72,Relax,2
12:01:13,73,226,51608.39161,19.37669377,74,Relax,2
12:01:14,74,226,51608.39161,19.37669377,76,Relax,2
12:01:15,75,226,51608.39161,19.37669377,72,Relax,2
12:01:16,76,226,51608.39161,19.37669377,73,Relax,2
12:01:17,77,225,51358.88502,19.47082768,71,Relax,2
12:01:18,78,226,51608.39161,19.37669377,71,Relax,2
12:01:19,79,226,51608.39161,19.37669377,71,Relax,2
12:01:20,80,226,51608.39161,19.37669377,70,Relax,2
12:01:21,81,226,51608.39161,19.37669377,65,Relax,2
12:01:22,82,226,51608.39161,19.37669377,65,Relax,2
12:01:23,83,226,51608.39161,19.37669377,65,Relax,2
12:01:24,84,226,51608.39161,19.37669377,65,Relax,2
12:01:25,85,226,51608.39161,19.37669377,66,Relax,2
12:01:26,86,226,51608.39161,19.37669377,67,Relax,2
12:01:27,87,226,51608.39161,19.37669377,63,Relax,2
