Time (s),Serial data,Resistance
1,166,39190.75144508671
2,166,39190.75144508671
3,166,39190.75144508671
4,165,39020.172910662826
5,163,38681.94842406877
6,161,38347.57834757835
7,160,38181.818181818184
8,158,37853.107344632765
9,157,37690.14084507042
10,158,37853.107344632765
11,157,37690.14084507042
12,157,37690.14084507042
13,158,37853.107344632765
14,157,37690.14084507042
15,157,37690.14084507042
16,156,37528.089887640446
17,156,37528.089887640446
18,157,37690.14084507042
19,157,37690.14084507042
20,156,37528.089887640446
21,156,37528.089887640446
22,156,37528.089887640446
23,156,37528.089887640446
24,155,37366.946778711485
25,155,37366.946778711485
26,155,37366.946778711485
27,155,37366.946778711485
28,153,37047.35376044568
29,155,37366.946778711485
30,157,37690.14084507042
31,155,37366.946778711485
32,156,37528.089887640446
33,156,37528.089887640446
34,154,37206.703910614524
35,158,37853.107344632765
36,152,36888.88888888889
37,152,36888.88888888889
38,152,36888.88888888889
39,152,36888.88888888889
40,149,36418.732782369145
41,147,36109.58904109589
42,148,36263.73626373626
43,147,36109.58904109589
44,147,36109.58904109589
45,144,35652.17391304348
46,145,35803.814713896456
47,151,36731.30193905817
48,158,37853.107344632765
49,166,39190.75144508671
50,164,38850.574712643676
51,163,38681.94842406877
52,162,38514.28571428572
53,158,37853.107344632765
54,157,37690.14084507042
55,156,37528.089887640446
56,158,37853.107344632765
57,159,38016.99716713881
58,158,37853.107344632765
59,159,38016.99716713881
60,160,38181.818181818184
61,160,38181.818181818184
62,159,38016.99716713881
63,159,38016.99716713881
64,159,38016.99716713881
65,160,38181.818181818184
66,159,38016.99716713881
67,158,37853.107344632765
68,158,37853.107344632765
69,157,37690.14084507042
70,159,38016.99716713881
71,168,39534.88372093023
72,163,38681.94842406877
73,162,38514.28571428572
74,157,37690.14084507042
75,166,39190.75144508671
76,158,37853.107344632765
77,156,37528.089887640446
78,155,37366.946778711485
79,155,37366.946778711485
80,155,37366.946778711485
81,168,39534.88372093023
82,156,37528.089887640446
83,164,38850.574712643676
84,163,38681.94842406877
85,163,38681.94842406877
86,161,38347.57834757835
87,161,38347.57834757835
88,160,38181.818181818184
89,159,38016.99716713881
90,158,37853.107344632765
91,157,37690.14084507042
92,155,37366.946778711485
93,153,37047.35376044568
94,153,37047.35376044568
95,152,36888.88888888889
96,153,37047.35376044568
97,153,37047.35376044568
98,153,37047.35376044568
99,150,36574.585635359115
100,149,36418.732782369145
101,153,37047.35376044568
102,157,37690.14084507042
103,157,37690.14084507042
104,149,36418.732782369145
105,149,36418.732782369145
106,147,36109.58904109589
107,147,36109.58904109589
108,148,36263.73626373626
109,147,36109.58904109589
110,146,35956.284153005465
111,149,36418.732782369145
112,148,36263.73626373626
113,146,35956.284153005465
114,142,35351.35135135135
115,142,35351.35135135135
116,142,35351.35135135135
117,143,35501.355013550135
118,144,35652.17391304348
119,143,35501.355013550135
120,144,35652.17391304348
121,143,35501.355013550135
122,143,35501.355013550135
123,149,36418.732782369145
124,152,36888.88888888889
125,146,35956.284153005465
126,141,35202.156334231804
127,139,34906.16621983914
128,139,34906.16621983914
129,134,34179.89417989418
130,132,33894.73684210526
131,133,34036.93931398417
132,133,34036.93931398417
133,132,33894.73684210526
134,130,33612.56544502618
135,129,33472.58485639687
136,130,33612.56544502618
137,131,33753.280839895015
138,131,33753.280839895015
139,132,33894.73684210526
140,129,33472.58485639687
141,132,33894.73684210526
142,131,33753.280839895015
143,136,34468.085106382976
144,133,34036.93931398417
145,132,33894.73684210526
146,132,33894.73684210526
147,132,33894.73684210526
148,132,33894.73684210526
149,131,33753.280839895015
150,131,33753.280839895015
151,130,33612.56544502618
152,130,33612.56544502618
153,130,33612.56544502618
154,130,33612.56544502618
155,130,33612.56544502618
156,131,33753.280839895015
157,140,35053.76344086022
158,135,34323.60742705571
159,131,33753.280839895015
160,131,33753.280839895015
161,129,33472.58485639687
162,130,33612.56544502618
163,129,33472.58485639687
164,130,33612.56544502618
165,130,33612.56544502618
166,131,33753.280839895015
167,131,33753.280839895015
168,130,33612.56544502618
169,129,33472.58485639687
170,126,33056.99481865285
171,128,33333.333333333336
172,129,33472.58485639687
173,127,33194.805194805194
174,127,33194.805194805194
175,128,33333.333333333336
176,127,33194.805194805194
177,128,33333.333333333336
178,127,33194.805194805194
179,128,33333.333333333336
180,128,33333.333333333336
181,128,33333.333333333336
182,132,33894.73684210526
183,139,34906.16621983914
184,126,33056.99481865285
185,126,33056.99481865285
186,126,33056.99481865285
187,126,33056.99481865285
188,127,33194.805194805194
189,127,33194.805194805194
190,127,33194.805194805194
191,128,33333.333333333336
192,127,33194.805194805194
193,126,33056.99481865285
194,123,32647.814910025707
195,121,32378.51662404092
196,122,32512.82051282051
197,123,32647.814910025707
198,123,32647.814910025707
199,123,32647.814910025707
200,124,32783.50515463918
201,125,32919.89664082687
202,123,32647.814910025707
203,120,32244.897959183672
204,118,31979.695431472082
205,117,31848.101265822785
206,117,31848.101265822785
207,118,31979.695431472082
208,119,32111.959287531805
209,119,32111.959287531805
210,120,32244.897959183672
211,122,32512.82051282051
212,120,32244.897959183672
213,119,32111.959287531805
214,115,31586.90176322418
215,125,32919.89664082687
216,122,32512.82051282051
217,121,32378.51662404092
218,123,32647.814910025707
219,118,31979.695431472082
220,116,31717.171717171717
221,118,31979.695431472082
222,119,32111.959287531805
223,117,31848.101265822785
224,118,31979.695431472082
225,119,32111.959287531805
226,120,32244.897959183672
227,118,31979.695431472082
228,117,31848.101265822785
229,118,31979.695431472082
230,118,31979.695431472082
231,118,31979.695431472082
232,117,31848.101265822785
233,118,31979.695431472082
234,118,31979.695431472082
235,118,31979.695431472082
236,119,32111.959287531805
237,118,31979.695431472082
238,118,31979.695431472082
239,119,32111.959287531805
240,118,31979.695431472082
241,119,32111.959287531805
242,118,31979.695431472082
243,119,32111.959287531805
244,119,32111.959287531805
245,120,32244.897959183672
246,120,32244.897959183672
247,121,32378.51662404092
248,119,32111.959287531805
249,120,32244.897959183672
250,119,32111.959287531805
251,118,31979.695431472082
252,117,31848.101265822785
253,117,31848.101265822785
254,117,31848.101265822785
255,115,31586.90176322418
256,114,31457.286432160803
257,114,31457.286432160803
258,118,31979.695431472082
259,114,31457.286432160803
260,123,32647.814910025707
261,121,32378.51662404092
262,116,31717.171717171717
263,117,31848.101265822785
264,113,31328.320802005015
265,111,31072.31920199501
266,111,31072.31920199501
267,109,30818.858560794044
268,112,31200.0
269,105,30319.41031941032
270,102,29951.219512195123
271,102,29951.219512195123
272,101,29829.683698296838
273,101,29829.683698296838
274,100,29708.73786407767
275,100,29708.73786407767
276,106,30443.349753694583
277,102,29951.219512195123
278,100,29708.73786407767
279,96,29230.76923076923
280,97,29349.397590361445
281,104,30196.07843137255
282,104,30196.07843137255
283,101,29829.683698296838
284,100,29708.73786407767
285,104,30196.07843137255
286,102,29951.219512195123
287,100,29708.73786407767
288,101,29829.683698296838
289,105,30319.41031941032
290,106,30443.349753694583
291,107,30567.9012345679
292,111,31072.31920199501
293,109,30818.858560794044
294,102,29951.219512195123
295,106,30443.349753694583
296,103,30073.349633251833
297,103,30073.349633251833
298,101,29829.683698296838
299,102,29951.219512195123
300,102,29951.219512195123
301,101,29829.683698296838
302,103,30073.349633251833
303,102,29951.219512195123
304,101,29829.683698296838
305,101,29829.683698296838
306,101,29829.683698296838
307,99,29588.37772397094
308,100,29708.73786407767
309,102,29951.219512195123
310,101,29829.683698296838
311,101,29829.683698296838
312,100,29708.73786407767
313,100,29708.73786407767
314,100,29708.73786407767
315,99,29588.37772397094
316,101,29829.683698296838
317,100,29708.73786407767
318,99,29588.37772397094
319,99,29588.37772397094
320,98,29468.599033816427
321,98,29468.599033816427
322,98,29468.599033816427
323,99,29588.37772397094
324,98,29468.599033816427
325,97,29349.397590361445
326,97,29349.397590361445
327,97,29349.397590361445
328,97,29349.397590361445
329,97,29349.397590361445
330,94,28995.215311004784
331,94,28995.215311004784
332,94,28995.215311004784
333,95,29112.709832134293
334,95,29112.709832134293
335,97,29349.397590361445
336,96,29230.76923076923
337,96,29230.76923076923
338,95,29112.709832134293
339,96,29230.76923076923
340,96,29230.76923076923
341,95,29112.709832134293
342,96,29230.76923076923
343,95,29112.709832134293
344,96,29230.76923076923
345,95,29112.709832134293
346,96,29230.76923076923
347,96,29230.76923076923
348,95,29112.709832134293
349,95,29112.709832134293
350,96,29230.76923076923
351,96,29230.76923076923
352,97,29349.397590361445
353,95,29112.709832134293
354,96,29230.76923076923
355,95,29112.709832134293
356,96,29230.76923076923
357,95,29112.709832134293
358,91,28646.080760095014
359,87,28188.235294117647
360,87,28188.235294117647
361,89,28416.0756501182
362,90,28530.805687203792
363,90,28530.805687203792
364,91,28646.080760095014
365,91,28646.080760095014
366,91,28646.080760095014
367,91,28646.080760095014
368,92,28761.904761904763
369,90,28530.805687203792
370,90,28530.805687203792
371,91,28646.080760095014
372,92,28761.904761904763
373,92,28761.904761904763
374,93,28878.28162291169
375,92,28761.904761904763
376,92,28761.904761904763
377,92,28761.904761904763
378,93,28878.28162291169
379,92,28761.904761904763
380,92,28761.904761904763
381,92,28761.904761904763
382,92,28761.904761904763
383,92,28761.904761904763
384,92,28761.904761904763
385,93,28878.28162291169
386,91,28646.080760095014
387,94,28995.215311004784
388,93,28878.28162291169
389,96,29230.76923076923
390,96,29230.76923076923
391,93,28878.28162291169
392,89,28416.0756501182
393,89,28416.0756501182
394,88,28301.886792452828
395,87,28188.235294117647
396,88,28301.886792452828
397,84,27850.46728971963
398,87,28188.235294117647
399,85,27962.529274004683
400,89,28416.0756501182
401,87,28188.235294117647
402,86,28075.11737089202
403,86,28075.11737089202
404,87,28188.235294117647
405,87,28188.235294117647
406,88,28301.886792452828
407,89,28416.0756501182
408,88,28301.886792452828
409,88,28301.886792452828
410,89,28416.0756501182
411,90,28530.805687203792
412,90,28530.805687203792
413,90,28530.805687203792
414,90,28530.805687203792
415,91,28646.080760095014
416,91,28646.080760095014
417,89,28416.0756501182
418,87,28188.235294117647
419,87,28188.235294117647
420,88,28301.886792452828
421,89,28416.0756501182
422,88,28301.886792452828
423,89,28416.0756501182
424,87,28188.235294117647
425,88,28301.886792452828
426,87,28188.235294117647
427,86,28075.11737089202
428,86,28075.11737089202
429,84,27850.46728971963
430,81,27517.401392111366
431,82,27627.906976744187
432,83,27738.927738927738
433,82,27627.906976744187
434,82,27627.906976744187
435,82,27627.906976744187
436,82,27627.906976744187
437,83,27738.927738927738
438,83,27738.927738927738
439,83,27738.927738927738
440,84,27850.46728971963
441,85,27962.529274004683
442,84,27850.46728971963
443,84,27850.46728971963
444,84,27850.46728971963
445,84,27850.46728971963
446,85,27962.529274004683
447,85,27962.529274004683
448,86,28075.11737089202
449,85,27962.529274004683
450,84,27850.46728971963
451,85,27962.529274004683
452,85,27962.529274004683
453,86,28075.11737089202
454,86,28075.11737089202
455,85,27962.529274004683
456,85,27962.529274004683
457,85,27962.529274004683
458,86,28075.11737089202
459,85,27962.529274004683
460,87,28188.235294117647
461,85,27962.529274004683
462,93,28878.28162291169
463,92,28761.904761904763
464,88,28301.886792452828
465,84,27850.46728971963
466,84,27850.46728971963
467,85,27962.529274004683
468,85,27962.529274004683
469,84,27850.46728971963
470,85,27962.529274004683
471,85,27962.529274004683
472,87,28188.235294117647
473,86,28075.11737089202
474,86,28075.11737089202
475,86,28075.11737089202
476,86,28075.11737089202
477,87,28188.235294117647
478,86,28075.11737089202
479,86,28075.11737089202
480,92,28761.904761904763
481,87,28188.235294117647
482,84,27850.46728971963
483,85,27962.529274004683
484,85,27962.529274004683
485,85,27962.529274004683
486,85,27962.529274004683
487,85,27962.529274004683
488,86,28075.11737089202
489,86,28075.11737089202
490,85,27962.529274004683
491,85,27962.529274004683
492,87,28188.235294117647
493,87,28188.235294117647
494,87,28188.235294117647
495,85,27962.529274004683
496,85,27962.529274004683
497,85,27962.529274004683
498,86,28075.11737089202
499,85,27962.529274004683
500,86,28075.11737089202
501,86,28075.11737089202
502,87,28188.235294117647
503,86,28075.11737089202
504,87,28188.235294117647
505,87,28188.235294117647
506,85,27962.529274004683
507,86,28075.11737089202
508,86,28075.11737089202
509,86,28075.11737089202
510,86,28075.11737089202
511,87,28188.235294117647
512,83,27738.927738927738
513,81,27517.401392111366
514,78,27188.9400921659
515,78,27188.9400921659
516,80,27407.40740740741
517,80,27407.40740740741
518,79,27297.921478060045
519,80,27407.40740740741
520,81,27517.401392111366
521,81,27517.401392111366
522,82,27627.906976744187
523,86,28075.11737089202
524,92,28761.904761904763
525,84,27850.46728971963
526,81,27517.401392111366
527,85,27962.529274004683
528,79,27297.921478060045
529,78,27188.9400921659
530,75,26864.988558352405
531,74,26757.99086757991
532,70,26334.841628959275
533,71,26439.909297052156
534,77,27080.459770114943
535,76,26972.47706422018
536,73,26651.48063781321
537,73,26651.48063781321
538,74,26757.99086757991
539,74,26757.99086757991
540,74,26757.99086757991
541,75,26864.988558352405
542,75,26864.988558352405
543,78,27188.9400921659
544,76,26972.47706422018
545,75,26864.988558352405
546,72,26545.454545454548
547,73,26651.48063781321
548,85,27962.529274004683
549,77,27080.459770114943
550,74,26757.99086757991
551,70,26334.841628959275
552,69,26230.248306997742
553,70,26334.841628959275
554,69,26230.248306997742
555,67,26022.47191011236
556,64,25714.285714285717
557,65,25816.5548098434
558,67,26022.47191011236
559,69,26230.248306997742
560,69,26230.248306997742
561,69,26230.248306997742
562,70,26334.841628959275
563,70,26334.841628959275
564,69,26230.248306997742
565,71,26439.909297052156
566,71,26439.909297052156
567,71,26439.909297052156
568,71,26439.909297052156
569,71,26439.909297052156
570,71,26439.909297052156
571,71,26439.909297052156
572,73,26651.48063781321
573,72,26545.454545454548
574,76,26972.47706422018
575,73,26651.48063781321
576,72,26545.454545454548
577,69,26230.248306997742
578,69,26230.248306997742
579,72,26545.454545454548
580,72,26545.454545454548
581,74,26757.99086757991
582,72,26545.454545454548
583,73,26651.48063781321
584,73,26651.48063781321
585,73,26651.48063781321
586,72,26545.454545454548
587,72,26545.454545454548
588,73,26651.48063781321
589,73,26651.48063781321
590,75,26864.988558352405
591,75,26864.988558352405
592,76,26972.47706422018
593,75,26864.988558352405
594,75,26864.988558352405
595,76,26972.47706422018
596,76,26972.47706422018
597,76,26972.47706422018
598,77,27080.459770114943
599,76,26972.47706422018
600,75,26864.988558352405
601,77,27080.459770114943
602,76,26972.47706422018
603,77,27080.459770114943
604,76,26972.47706422018
605,77,27080.459770114943
606,77,27080.459770114943
607,77,27080.459770114943
608,78,27188.9400921659
609,77,27080.459770114943
