Time (s),Serial data,Resistance
1,233,53405.01792114695
2,232,53142.85714285714
3,232,53142.85714285714
4,232,53142.85714285714
5,230,52624.113475177306
6,232,53142.85714285714
7,231,52882.562277580066
8,231,52882.562277580066
9,230,52624.113475177306
10,230,52624.113475177306
11,230,52624.113475177306
12,229,52367.491166077736
13,229,52367.491166077736
14,229,52367.491166077736
15,229,52367.491166077736
16,228,52112.67605633803
17,228,52112.67605633803
18,229,52367.491166077736
19,228,52112.67605633803
20,228,52112.67605633803
21,228,52112.67605633803
22,228,52112.67605633803
23,227,51859.649122807015
24,227,51859.649122807015
25,227,51859.649122807015
26,227,51859.649122807015
27,228,52112.67605633803
28,226,51608.39160839161
29,228,52112.67605633803
30,228,52112.67605633803
31,226,51608.39160839161
32,226,51608.39160839161
33,227,51859.649122807015
34,227,51859.649122807015
35,226,51608.39160839161
36,227,51859.649122807015
37,226,51608.39160839161
38,226,51608.39160839161
39,226,51608.39160839161
40,226,51608.39160839161
41,226,51608.39160839161
42,226,51608.39160839161
43,226,51608.39160839161
44,226,51608.39160839161
45,226,51608.39160839161
46,226,51608.39160839161
47,227,51859.649122807015
48,227,51859.649122807015
49,226,51608.39160839161
50,227,51859.649122807015
51,226,51608.39160839161
52,226,51608.39160839161
53,227,51859.649122807015
54,227,51859.649122807015
55,228,52112.67605633803
56,227,51859.649122807015
57,226,51608.39160839161
58,226,51608.39160839161
59,227,51859.649122807015
60,226,51608.39160839161
61,226,51608.39160839161
62,227,51859.649122807015
63,228,52112.67605633803
64,227,51859.649122807015
65,228,52112.67605633803
66,226,51608.39160839161
67,226,51608.39160839161
68,227,51859.649122807015
69,227,51859.649122807015
70,227,51859.649122807015
71,227,51859.649122807015
72,227,51859.649122807015
73,226,51608.39160839161
74,228,52112.67605633803
75,227,51859.649122807015
76,228,52112.67605633803
77,227,51859.649122807015
78,228,52112.67605633803
79,227,51859.649122807015
80,228,52112.67605633803
81,229,52367.491166077736
82,229,52367.491166077736
83,228,52112.67605633803
84,229,52367.491166077736
85,229,52367.491166077736
86,228,52112.67605633803
87,228,52112.67605633803
88,230,52624.113475177306
89,228,52112.67605633803
90,229,52367.491166077736
91,228,52112.67605633803
92,234,53669.06474820144
93,234,53669.06474820144
94,233,53405.01792114695
95,230,52624.113475177306
96,234,53669.06474820144
97,234,53669.06474820144
98,236,54202.89855072464
99,236,54202.89855072464
100,235,53935.01805054152
101,233,53405.01792114695
102,237,54472.72727272727
103,240,55294.117647058825
104,241,55571.95571955719
105,239,55018.31501831502
106,242,55851.851851851854
107,241,55571.95571955719
108,248,57575.757575757576
109,242,55851.851851851854
110,247,57283.018867924526
111,244,56417.91044776119
112,244,56417.91044776119
113,244,56417.91044776119
114,245,56704.119850187264
115,243,56133.82899628252
116,247,57283.018867924526
117,247,57283.018867924526
118,258,60629.92125984252
119,252,58769.23076923077
120,249,57870.722433460076
121,247,57283.018867924526
122,249,57870.722433460076
123,249,57870.722433460076
124,252,58769.23076923077
125,250,58167.93893129771
126,250,58167.93893129771
127,250,58167.93893129771
128,250,58167.93893129771
129,272,65333.333333333336
130,262,61920.0
131,262,61920.0
132,260,61269.84126984127
133,262,61920.0
134,259,60948.61660079052
135,259,60948.61660079052
136,259,60948.61660079052
137,257,60313.72549019608
138,256,60000.0
139,257,60313.72549019608
140,256,60000.0
141,255,59688.715953307394
142,255,59688.715953307394
143,255,59688.715953307394
144,254,59379.844961240306
145,253,59073.359073359075
146,252,58769.23076923077
147,252,58769.23076923077
148,251,58467.43295019156
149,253,59073.359073359075
150,252,58769.23076923077
151,251,58467.43295019156
152,252,58769.23076923077
153,252,58769.23076923077
154,252,58769.23076923077
155,253,59073.359073359075
156,251,58467.43295019156
157,251,58467.43295019156
158,250,58167.93893129771
159,249,57870.722433460076
160,251,58467.43295019156
161,250,58167.93893129771
162,251,58467.43295019156
163,248,57575.757575757576
