Time (s),Serial data,Resistance
1,383,138759.6899224806
2,382,137538.46153846156
3,379,133984.96240601502
4,382,137538.46153846156
5,382,137538.46153846156
6,381,136335.8778625954
7,381,136335.8778625954
8,381,136335.8778625954
9,380,135151.51515151517
10,381,136335.8778625954
11,381,136335.8778625954
12,381,136335.8778625954
13,381,136335.8778625954
14,380,135151.51515151517
15,380,135151.51515151517
16,380,135151.51515151517
17,379,133984.96240601502
18,380,135151.51515151517
19,380,135151.51515151517
20,379,133984.96240601502
21,379,133984.96240601502
22,379,133984.96240601502
23,378,132835.8208955224
24,379,133984.96240601502
25,379,133984.96240601502
26,379,133984.96240601502
27,381,136335.8778625954
28,379,133984.96240601502
29,379,133984.96240601502
30,379,133984.96240601502
31,380,135151.51515151517
32,380,135151.51515151517
33,382,137538.46153846156
34,380,135151.51515151517
35,380,135151.51515151517
36,379,133984.96240601502
37,379,133984.96240601502
38,380,135151.51515151517
39,380,135151.51515151517
40,380,135151.51515151517
41,378,132835.8208955224
42,379,133984.96240601502
43,380,135151.51515151517
44,376,130588.23529411765
45,379,133984.96240601502
46,378,132835.8208955224
47,378,132835.8208955224
48,379,133984.96240601502
49,378,132835.8208955224
50,378,132835.8208955224
51,377,131703.7037037037
52,380,135151.51515151517
53,379,133984.96240601502
54,379,133984.96240601502
55,379,133984.96240601502
56,377,131703.7037037037
57,379,133984.96240601502
58,379,133984.96240601502
59,378,132835.8208955224
60,377,131703.7037037037
61,379,133984.96240601502
62,378,132835.8208955224
63,378,132835.8208955224
64,378,132835.8208955224
65,377,131703.7037037037
66,377,131703.7037037037
67,378,132835.8208955224
68,380,135151.51515151517
69,378,132835.8208955224
70,379,133984.96240601502
71,379,133984.96240601502
72,378,132835.8208955224
73,377,131703.7037037037
74,378,132835.8208955224
75,378,132835.8208955224
76,378,132835.8208955224
77,377,131703.7037037037
78,379,133984.96240601502
79,379,133984.96240601502
80,381,136335.8778625954
81,381,136335.8778625954
82,381,136335.8778625954
83,381,136335.8778625954
84,381,136335.8778625954
85,381,136335.8778625954
86,380,135151.51515151517
87,382,137538.46153846156
88,379,133984.96240601502
89,381,136335.8778625954
90,382,137538.46153846156
91,384,140000.0
92,380,135151.51515151517
93,381,136335.8778625954
94,380,135151.51515151517
95,380,135151.51515151517
96,380,135151.51515151517
97,380,135151.51515151517
98,379,133984.96240601502
99,379,133984.96240601502
100,379,133984.96240601502
101,379,133984.96240601502
102,379,133984.96240601502
103,382,137538.46153846156
104,381,136335.8778625954
105,381,136335.8778625954
106,381,136335.8778625954
107,380,135151.51515151517
108,379,133984.96240601502
109,380,135151.51515151517
110,380,135151.51515151517
111,380,135151.51515151517
112,382,137538.46153846156
113,381,136335.8778625954
114,382,137538.46153846156
115,383,138759.6899224806
116,381,136335.8778625954
117,381,136335.8778625954
118,380,135151.51515151517
119,380,135151.51515151517
120,379,133984.96240601502
121,381,136335.8778625954
122,380,135151.51515151517
123,380,135151.51515151517
124,379,133984.96240601502
125,380,135151.51515151517
126,381,136335.8778625954
127,378,132835.8208955224
128,379,133984.96240601502
129,380,135151.51515151517
130,379,133984.96240601502
131,378,132835.8208955224
132,379,133984.96240601502
133,377,131703.7037037037
134,378,132835.8208955224
135,378,132835.8208955224
136,379,133984.96240601502
137,379,133984.96240601502
138,377,131703.7037037037
139,378,132835.8208955224
140,379,133984.96240601502
141,378,132835.8208955224
142,380,135151.51515151517
143,377,131703.7037037037
144,377,131703.7037037037
145,379,133984.96240601502
146,379,133984.96240601502
147,377,131703.7037037037
148,377,131703.7037037037
149,377,131703.7037037037
150,377,131703.7037037037
151,377,131703.7037037037
152,377,131703.7037037037
153,376,130588.23529411765
154,376,130588.23529411765
155,375,129489.0510948905
156,376,130588.23529411765
157,376,130588.23529411765
158,378,132835.8208955224
159,376,130588.23529411765
160,376,130588.23529411765
161,376,130588.23529411765
162,375,129489.0510948905
163,375,129489.0510948905
164,376,130588.23529411765
165,377,131703.7037037037
166,375,129489.0510948905
167,376,130588.23529411765
168,375,129489.0510948905
169,376,130588.23529411765
170,376,130588.23529411765
171,375,129489.0510948905
172,376,130588.23529411765
173,375,129489.0510948905
174,375,129489.0510948905
175,374,128405.79710144928
176,374,128405.79710144928
177,375,129489.0510948905
178,374,128405.79710144928
179,375,129489.0510948905
180,376,130588.23529411765
181,374,128405.79710144928
182,375,129489.0510948905
183,375,129489.0510948905
184,375,129489.0510948905
185,374,128405.79710144928
186,375,129489.0510948905
187,375,129489.0510948905
188,374,128405.79710144928
189,376,130588.23529411765
190,374,128405.79710144928
191,374,128405.79710144928
192,375,129489.0510948905
193,373,127338.12949640288
194,374,128405.79710144928
195,374,128405.79710144928
196,375,129489.0510948905
197,375,129489.0510948905
198,374,128405.79710144928
199,373,127338.12949640288
200,374,128405.79710144928
201,374,128405.79710144928
202,374,128405.79710144928
203,375,129489.0510948905
204,374,128405.79710144928
205,373,127338.12949640288
206,373,127338.12949640288
207,373,127338.12949640288
208,374,128405.79710144928
209,374,128405.79710144928
210,374,128405.79710144928
211,372,126285.71428571428
212,373,127338.12949640288
213,373,127338.12949640288
214,372,126285.71428571428
215,372,126285.71428571428
216,372,126285.71428571428
217,373,127338.12949640288
218,373,127338.12949640288
219,372,126285.71428571428
220,372,126285.71428571428
221,373,127338.12949640288
222,374,128405.79710144928
223,373,127338.12949640288
224,372,126285.71428571428
225,373,127338.12949640288
226,374,128405.79710144928
227,376,130588.23529411765
228,373,127338.12949640288
229,373,127338.12949640288
230,372,126285.71428571428
231,372,126285.71428571428
232,371,125248.22695035461
233,374,128405.79710144928
234,372,126285.71428571428
235,374,128405.79710144928
236,373,127338.12949640288
237,374,128405.79710144928
238,372,126285.71428571428
239,373,127338.12949640288
240,372,126285.71428571428
241,373,127338.12949640288
242,372,126285.71428571428
243,372,126285.71428571428
244,372,126285.71428571428
245,372,126285.71428571428
246,371,125248.22695035461
247,373,127338.12949640288
248,372,126285.71428571428
249,372,126285.71428571428
250,373,127338.12949640288
251,372,126285.71428571428
252,372,126285.71428571428
253,372,126285.71428571428
254,372,126285.71428571428
255,371,125248.22695035461
256,372,126285.71428571428
257,371,125248.22695035461
258,371,125248.22695035461
259,371,125248.22695035461
260,369,123216.78321678322
261,373,127338.12949640288
262,371,125248.22695035461
263,372,126285.71428571428
264,372,126285.71428571428
265,372,126285.71428571428
266,372,126285.71428571428
267,373,127338.12949640288
268,376,130588.23529411765
269,374,128405.79710144928
270,371,125248.22695035461
271,372,126285.71428571428
272,371,125248.22695035461
273,372,126285.71428571428
274,373,127338.12949640288
275,373,127338.12949640288
276,372,126285.71428571428
277,373,127338.12949640288
278,373,127338.12949640288
279,372,126285.71428571428
280,373,127338.12949640288
281,373,127338.12949640288
282,373,127338.12949640288
283,372,126285.71428571428
284,374,128405.79710144928
285,372,126285.71428571428
286,372,126285.71428571428
287,372,126285.71428571428
288,374,128405.79710144928
289,373,127338.12949640288
290,373,127338.12949640288
291,373,127338.12949640288
292,373,127338.12949640288
293,374,128405.79710144928
294,373,127338.12949640288
295,373,127338.12949640288
296,372,126285.71428571428
297,372,126285.71428571428
298,375,129489.0510948905
299,377,131703.7037037037
300,376,130588.23529411765
301,383,138759.6899224806
302,381,136335.8778625954
303,381,136335.8778625954
304,379,133984.96240601502
305,379,133984.96240601502
306,380,135151.51515151517
307,380,135151.51515151517
308,380,135151.51515151517
309,379,133984.96240601502
310,378,132835.8208955224
311,378,132835.8208955224
312,379,133984.96240601502
313,378,132835.8208955224
314,378,132835.8208955224
315,379,133984.96240601502
316,379,133984.96240601502
317,379,133984.96240601502
318,377,131703.7037037037
319,378,132835.8208955224
320,377,131703.7037037037
321,378,132835.8208955224
322,379,133984.96240601502
323,379,133984.96240601502
324,378,132835.8208955224
325,379,133984.96240601502
326,377,131703.7037037037
327,378,132835.8208955224
328,377,131703.7037037037
329,377,131703.7037037037
330,378,132835.8208955224
331,377,131703.7037037037
332,377,131703.7037037037
333,377,131703.7037037037
334,377,131703.7037037037
335,378,132835.8208955224
336,377,131703.7037037037
337,377,131703.7037037037
338,377,131703.7037037037
339,378,132835.8208955224
340,377,131703.7037037037
341,377,131703.7037037037
342,376,130588.23529411765
343,377,131703.7037037037
344,377,131703.7037037037
345,378,132835.8208955224
346,377,131703.7037037037
347,377,131703.7037037037
348,377,131703.7037037037
349,378,132835.8208955224
350,376,130588.23529411765
351,377,131703.7037037037
352,376,130588.23529411765
353,376,130588.23529411765
354,377,131703.7037037037
355,377,131703.7037037037
356,376,130588.23529411765
357,376,130588.23529411765
358,376,130588.23529411765
359,378,132835.8208955224
360,375,129489.0510948905
361,376,130588.23529411765
362,375,129489.0510948905
363,375,129489.0510948905
364,376,130588.23529411765
365,375,129489.0510948905
366,376,130588.23529411765
367,376,130588.23529411765
368,376,130588.23529411765
369,375,129489.0510948905
370,375,129489.0510948905
371,375,129489.0510948905
372,376,130588.23529411765
373,375,129489.0510948905
374,377,131703.7037037037
375,376,130588.23529411765
376,374,128405.79710144928
377,376,130588.23529411765
378,375,129489.0510948905
379,376,130588.23529411765
380,376,130588.23529411765
381,374,128405.79710144928
382,374,128405.79710144928
383,375,129489.0510948905
384,374,128405.79710144928
385,375,129489.0510948905
386,374,128405.79710144928
387,374,128405.79710144928
388,375,129489.0510948905
389,374,128405.79710144928
390,373,127338.12949640288
391,374,128405.79710144928
392,375,129489.0510948905
393,375,129489.0510948905
394,375,129489.0510948905
395,374,128405.79710144928
396,376,130588.23529411765
397,374,128405.79710144928
398,374,128405.79710144928
399,374,128405.79710144928
400,374,128405.79710144928
401,375,129489.0510948905
402,374,128405.79710144928
403,374,128405.79710144928
404,375,129489.0510948905
405,374,128405.79710144928
406,374,128405.79710144928
407,376,130588.23529411765
408,376,130588.23529411765
409,373,127338.12949640288
410,374,128405.79710144928
411,373,127338.12949640288
412,373,127338.12949640288
413,373,127338.12949640288
414,373,127338.12949640288
415,375,129489.0510948905
416,374,128405.79710144928
417,373,127338.12949640288
418,373,127338.12949640288
419,373,127338.12949640288
420,372,126285.71428571428
421,373,127338.12949640288
422,374,128405.79710144928
423,373,127338.12949640288
424,373,127338.12949640288
425,373,127338.12949640288
426,374,128405.79710144928
427,372,126285.71428571428
428,373,127338.12949640288
429,373,127338.12949640288
430,372,126285.71428571428
431,373,127338.12949640288
432,372,126285.71428571428
