Time (s),Serial data,Resistance
1,278,67521.36752136752
2,278,67521.36752136752
3,278,67521.36752136752
4,278,67521.36752136752
5,279,67896.9957081545
6,278,67521.36752136752
7,276,66779.66101694915
8,277,67148.93617021276
9,277,67148.93617021276
10,279,67896.9957081545
11,278,67521.36752136752
12,278,67521.36752136752
13,278,67521.36752136752
14,279,67896.9957081545
15,278,67521.36752136752
16,277,67148.93617021276
17,277,67148.93617021276
18,278,67521.36752136752
19,277,67148.93617021276
20,276,66779.66101694915
21,276,66779.66101694915
22,277,67148.93617021276
23,277,67148.93617021276
24,276,66779.66101694915
25,276,66779.66101694915
26,277,67148.93617021276
27,277,67148.93617021276
28,277,67148.93617021276
29,277,67148.93617021276
30,277,67148.93617021276
31,278,67521.36752136752
32,277,67148.93617021276
33,277,67148.93617021276
34,278,67521.36752136752
35,276,66779.66101694915
36,276,66779.66101694915
37,275,66413.50210970464
38,275,66413.50210970464
39,273,65690.37656903766
40,269,64279.8353909465
41,269,64279.8353909465
42,271,64979.2531120332
43,265,62914.97975708502
44,267,63591.836734693876
45,265,62914.97975708502
46,264,62580.64516129032
47,263,62248.99598393575
48,262,61920.0
49,264,62580.64516129032
50,264,62580.64516129032
51,263,62248.99598393575
52,264,62580.64516129032
53,261,61593.62549800797
54,262,61920.0
55,262,61920.0
56,263,62248.99598393575
57,262,61920.0
58,262,61920.0
59,263,62248.99598393575
60,262,61920.0
61,263,62248.99598393575
62,262,61920.0
63,262,61920.0
64,261,61593.62549800797
65,262,61920.0
66,263,62248.99598393575
67,267,63591.836734693876
68,266,63252.0325203252
69,269,64279.8353909465
70,268,63934.4262295082
71,269,64279.8353909465
72,268,63934.4262295082
73,268,63934.4262295082
74,267,63591.836734693876
75,266,63252.0325203252
76,268,63934.4262295082
77,267,63591.836734693876
78,267,63591.836734693876
79,268,63934.4262295082
80,269,64279.8353909465
81,267,63591.836734693876
82,269,64279.8353909465
83,270,64628.099173553725
84,270,64628.099173553725
85,269,64279.8353909465
86,268,63934.4262295082
87,266,63252.0325203252
88,266,63252.0325203252
89,263,62248.99598393575
90,263,62248.99598393575
91,261,61593.62549800797
92,262,61920.0
93,266,63252.0325203252
94,264,62580.64516129032
95,262,61920.0
96,264,62580.64516129032
97,263,62248.99598393575
98,261,61593.62549800797
99,261,61593.62549800797
100,262,61920.0
101,262,61920.0
102,261,61593.62549800797
103,262,61920.0
104,260,61269.84126984127
105,261,61593.62549800797
106,261,61593.62549800797
107,260,61269.84126984127
108,262,61920.0
109,260,61269.84126984127
110,259,60948.61660079052
111,260,61269.84126984127
112,258,60629.92125984252
113,258,60629.92125984252
114,256,60000.0
115,256,60000.0
116,256,60000.0
117,255,59688.715953307394
118,255,59688.715953307394
119,255,59688.715953307394
120,256,60000.0
121,257,60313.72549019608
122,256,60000.0
123,254,59379.844961240306
124,257,60313.72549019608
125,255,59688.715953307394
126,256,60000.0
127,257,60313.72549019608
128,257,60313.72549019608
129,258,60629.92125984252
130,256,60000.0
131,257,60313.72549019608
132,257,60313.72549019608
133,258,60629.92125984252
134,255,59688.715953307394
135,257,60313.72549019608
136,257,60313.72549019608
137,258,60629.92125984252
138,255,59688.715953307394
139,255,59688.715953307394
140,255,59688.715953307394
141,256,60000.0
142,256,60000.0
143,259,60948.61660079052
144,263,62248.99598393575
145,263,62248.99598393575
146,262,61920.0
147,263,62248.99598393575
148,262,61920.0
149,262,61920.0
150,261,61593.62549800797
151,261,61593.62549800797
152,262,61920.0
153,261,61593.62549800797
154,261,61593.62549800797
155,261,61593.62549800797
156,263,62248.99598393575
157,263,62248.99598393575
158,262,61920.0
159,263,62248.99598393575
160,262,61920.0
161,261,61593.62549800797
162,261,61593.62549800797
163,262,61920.0
164,263,62248.99598393575
165,263,62248.99598393575
166,262,61920.0
167,262,61920.0
168,263,62248.99598393575
169,262,61920.0
170,262,61920.0
171,263,62248.99598393575
172,261,61593.62549800797
173,264,62580.64516129032
174,263,62248.99598393575
175,262,61920.0
176,262,61920.0
177,263,62248.99598393575
178,263,62248.99598393575
179,262,61920.0
180,262,61920.0
181,264,62580.64516129032
182,263,62248.99598393575
183,264,62580.64516129032
184,264,62580.64516129032
185,262,61920.0
186,263,62248.99598393575
187,262,61920.0
188,263,62248.99598393575
189,262,61920.0
190,264,62580.64516129032
191,263,62248.99598393575
192,262,61920.0
193,262,61920.0
194,263,62248.99598393575
195,262,61920.0
196,264,62580.64516129032
197,263,62248.99598393575
198,263,62248.99598393575
199,263,62248.99598393575
200,260,61269.84126984127
201,258,60629.92125984252
202,260,61269.84126984127
203,259,60948.61660079052
204,262,61920.0
205,260,61269.84126984127
206,257,60313.72549019608
207,256,60000.0
208,257,60313.72549019608
209,257,60313.72549019608
210,256,60000.0
211,256,60000.0
212,254,59379.844961240306
213,258,60629.92125984252
214,257,60313.72549019608
215,256,60000.0
216,256,60000.0
217,255,59688.715953307394
218,255,59688.715953307394
219,256,60000.0
220,255,59688.715953307394
221,255,59688.715953307394
222,257,60313.72549019608
223,255,59688.715953307394
224,255,59688.715953307394
225,259,60948.61660079052
226,259,60948.61660079052
