Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,Section,Stressed
10:58:02,2,359,113856.2092,8.783008037,71,lab_fri4_1,4
10:58:03,3,359,113856.2092,8.783008037,71,lab_fri4_1,4
10:58:04,4,359,113856.2092,8.783008037,71,lab_fri4_1,4
10:58:05,5,359,113856.2092,8.783008037,71,lab_fri4_1,4
10:58:06,6,360,114736.8421,8.71559633,65,lab_fri4_1,4
10:58:07,7,359,113856.2092,8.783008037,71,lab_fri4_1,4
10:58:08,8,359,113856.2092,8.783008037,71,lab_fri4_1,4
10:58:09,9,358,112987.013,8.850574713,71,lab_fri4_1,4
10:58:10,10,358,112987.013,8.850574713,71,lab_fri4_1,4
10:58:11,11,359,113856.2092,8.783008037,71,lab_fri4_1,4
10:58:12,12,358,112987.013,8.850574713,71,lab_fri4_1,4
10:58:13,13,358,112987.013,8.850574713,68,lab_fri4_1,4
10:58:14,14,358,112987.013,8.850574713,68,lab_fri4_1,4
10:58:15,15,358,112987.013,8.850574713,67,lab_fri4_1,4
10:58:16,16,358,112987.013,8.850574713,67,lab_fri4_1,4
10:58:17,17,357,112129.0323,8.918296893,68,lab_fri4_1,4
10:58:18,18,357,112129.0323,8.918296893,68,lab_fri4_1,4
10:58:19,19,357,112129.0323,8.918296893,68,lab_fri4_1,4
10:58:20,20,357,112129.0323,8.918296893,68,lab_fri4_1,4
10:58:21,21,357,112129.0323,8.918296893,67,lab_fri4_1,4
10:58:22,22,357,112129.0323,8.918296893,67,lab_fri4_1,4
10:58:23,23,357,112129.0323,8.918296893,65,lab_fri4_1,4
10:58:24,24,357,112129.0323,8.918296893,65,lab_fri4_1,4
10:58:25,25,356,111282.0513,8.986175115,65,lab_fri4_1,4
10:58:26,26,356,111282.0513,8.986175115,65,lab_fri4_1,4
10:58:27,27,356,111282.0513,8.986175115,67,lab_fri4_1,4
10:58:28,28,356,111282.0513,8.986175115,69,lab_fri4_1,4
10:58:30,29,356,111282.0513,8.986175115,69,lab_fri4_1,4
10:58:31,30,356,111282.0513,8.986175115,69,lab_fri4_1,4
10:58:32,31,356,111282.0513,8.986175115,69,lab_fri4_1,4
10:58:33,32,356,111282.0513,8.986175115,69,lab_fri4_1,4
10:58:34,33,356,111282.0513,8.986175115,69,lab_fri4_1,4
10:58:35,34,355,110445.8599,9.054209919,69,lab_fri4_1,4
10:58:36,35,356,111282.0513,8.986175115,69,lab_fri4_1,4
10:58:37,36,358,112987.013,8.850574713,69,lab_fri4_1,4
10:58:38,37,357,112129.0323,8.918296893,69,lab_fri4_1,4
10:58:39,38,355,110445.8599,9.054209919,69,lab_fri4_1,4
10:58:40,39,355,110445.8599,9.054209919,69,lab_fri4_1,4
10:58:41,40,354,109620.2532,9.122401848,69,lab_fri4_1,4
10:58:42,41,354,109620.2532,9.122401848,69,lab_fri4_1,4
10:58:43,42,356,111282.0513,8.986175115,69,lab_fri4_1,4
10:58:44,43,356,111282.0513,8.986175115,67,lab_fri4_1,4
10:58:45,44,365,119319.7279,8.380843786,66,lab_fri4_1,4
10:58:46,45,363,117449.6644,8.514285714,66,lab_fri4_1,4
10:58:47,46,362,116533.3333,8.581235698,66,lab_fri4_1,4
10:58:48,47,362,116533.3333,8.581235698,66,lab_fri4_1,4
10:58:49,48,361,115629.1391,8.648339061,66,lab_fri4_1,4
10:58:50,49,362,116533.3333,8.581235698,66,lab_fri4_1,4
10:58:51,50,361,115629.1391,8.648339061,67,lab_fri4_1,4
10:58:52,51,363,117449.6644,8.514285714,67,lab_fri4_1,4
10:58:53,52,362,116533.3333,8.581235698,67,lab_fri4_1,4
10:58:54,53,362,116533.3333,8.581235698,67,lab_fri4_1,4
10:58:55,54,360,114736.8421,8.71559633,67,lab_fri4_1,4
10:58:56,55,358,112987.013,8.850574713,67,lab_fri4_1,4
10:58:57,56,359,113856.2092,8.783008037,67,lab_fri4_1,4
10:58:58,57,360,114736.8421,8.71559633,67,lab_fri4_1,4
10:58:59,58,373,127338.1295,7.853107345,67,lab_fri4_1,4
10:59:00,59,357,112129.0323,8.918296893,67,lab_fri4_1,4
10:59:01,60,357,112129.0323,8.918296893,67,lab_fri4_1,4
10:59:02,61,356,111282.0513,8.986175115,67,lab_fri4_1,4
10:59:03,62,356,111282.0513,8.986175115,67,lab_fri4_1,4
10:59:04,63,355,110445.8599,9.054209919,67,lab_fri4_1,4
10:59:05,64,355,110445.8599,9.054209919,67,lab_fri4_1,4
10:59:06,65,355,110445.8599,9.054209919,67,lab_fri4_1,4
10:59:08,66,355,110445.8599,9.054209919,67,lab_fri4_1,4
10:59:09,67,355,110445.8599,9.054209919,67,lab_fri4_1,4
10:59:10,68,355,110445.8599,9.054209919,67,lab_fri4_1,4
10:59:11,69,355,110445.8599,9.054209919,67,lab_fri4_1,4
10:59:12,70,354,109620.2532,9.122401848,67,lab_fri4_1,4
10:59:13,71,355,110445.8599,9.054209919,66,lab_fri4_1,4
10:59:14,72,354,109620.2532,9.122401848,66,lab_fri4_1,4
10:59:15,73,354,109620.2532,9.122401848,67,lab_fri4_1,4
