Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,Section,Stressed
8:56:32,1,365,119319.7279,8.380843786,68,rory_lab_fri4,4
8:56:33,2,365,119319.7279,8.380843786,69,rory_lab_fri4,4
8:56:34,3,365,119319.7279,8.380843786,69,rory_lab_fri4,4
8:56:35,4,365,119319.7279,8.380843786,71,rory_lab_fri4,4
8:56:36,5,365,119319.7279,8.380843786,68,rory_lab_fri4,4
8:56:37,6,365,119319.7279,8.380843786,69,rory_lab_fri4,4
8:56:38,7,365,119319.7279,8.380843786,69,rory_lab_fri4,4
8:56:39,8,365,119319.7279,8.380843786,71,rory_lab_fri4,4
8:56:40,9,365,119319.7279,8.380843786,68,rory_lab_fri4,4
8:56:41,10,366,120273.9726,8.314350797,66,rory_lab_fri4,4
8:56:42,11,365,119319.7279,8.380843786,68,rory_lab_fri4,4
8:56:43,12,365,119319.7279,8.380843786,69,rory_lab_fri4,4
8:56:44,13,365,119319.7279,8.380843786,69,rory_lab_fri4,4
8:56:45,14,365,119319.7279,8.380843786,71,rory_lab_fri4,4
8:56:46,15,365,119319.7279,8.380843786,68,rory_lab_fri4,4
8:56:47,16,366,120273.9726,8.314350797,66,rory_lab_fri4,4
8:56:48,17,366,120273.9726,8.314350797,66,rory_lab_fri4,4
8:56:49,18,367,121241.3793,8.248009101,66,rory_lab_fri4,4
8:56:50,19,367,121241.3793,8.248009101,66,rory_lab_fri4,4
8:56:51,20,366,120273.9726,8.314350797,61,rory_lab_fri4,4
8:56:52,21,366,120273.9726,8.314350797,59,rory_lab_fri4,4
8:56:53,22,367,121241.3793,8.248009101,59,rory_lab_fri4,4
8:56:54,23,367,121241.3793,8.248009101,58,rory_lab_fri4,4
8:56:55,24,367,121241.3793,8.248009101,58,rory_lab_fri4,4
8:56:56,25,368,122222.2222,8.181818182,58,rory_lab_fri4,4
8:56:57,26,366,120273.9726,8.314350797,53,rory_lab_fri4,4
8:56:58,27,363,117449.6644,8.514285714,54,rory_lab_fri4,4
8:56:59,28,361,115629.1391,8.648339061,58,rory_lab_fri4,4
8:57:00,29,360,114736.8421,8.71559633,61,rory_lab_fri4,4
8:57:01,30,359,113856.2092,8.783008037,57,rory_lab_fri4,4
8:57:02,31,359,113856.2092,8.783008037,57,rory_lab_fri4,4
8:57:03,32,359,113856.2092,8.783008037,57,rory_lab_fri4,4
8:57:04,33,359,113856.2092,8.783008037,56,rory_lab_fri4,4
8:57:05,34,359,113856.2092,8.783008037,56,rory_lab_fri4,4
8:57:06,35,360,114736.8421,8.71559633,58,rory_lab_fri4,4
8:57:07,36,361,115629.1391,8.648339061,58,rory_lab_fri4,4
8:57:08,37,360,114736.8421,8.71559633,64,rory_lab_fri4,4
8:57:09,38,359,113856.2092,8.783008037,64,rory_lab_fri4,4
8:57:10,39,355,110445.8599,9.054209919,64,rory_lab_fri4,4
8:57:11,40,351,107204.9689,9.32792584,64,rory_lab_fri4,4
8:57:12,41,349,105644.1718,9.465737515,64,rory_lab_fri4,4
8:57:13,42,348,104878.0488,9.534883721,63,rory_lab_fri4,4
8:57:14,43,348,104878.0488,9.534883721,61,rory_lab_fri4,4
8:57:15,44,348,104878.0488,9.534883721,62,rory_lab_fri4,3
8:57:16,45,347,104121.2121,9.60419092,62,rory_lab_fri4,3
8:57:17,46,346,103373.494,9.673659674,62,rory_lab_fri4,3
8:57:19,47,344,101904.7619,9.813084112,62,rory_lab_fri4,3
8:57:20,48,345,102634.7305,9.743290548,62,rory_lab_fri4,3
8:57:21,49,346,103373.494,9.673659674,62,rory_lab_fri4,3
8:57:22,50,345,102634.7305,9.743290548,62,rory_lab_fri4,3
8:57:23,51,345,102634.7305,9.743290548,62,rory_lab_fri4,3
8:57:24,52,345,102634.7305,9.743290548,62,rory_lab_fri4,3
8:57:25,53,344,101904.7619,9.813084112,62,rory_lab_fri4,3
8:57:26,54,342,100470.5882,9.953161593,62,rory_lab_fri4,3
8:57:27,55,342,100470.5882,9.953161593,62,rory_lab_fri4,3
8:57:28,56,342,100470.5882,9.953161593,62,rory_lab_fri4,3
8:57:29,57,342,100470.5882,9.953161593,62,rory_lab_fri4,3
8:57:30,58,341,99766.08187,10.02344666,62,rory_lab_fri4,3
8:57:31,59,341,99766.08187,10.02344666,62,rory_lab_fri4,3
8:57:32,60,341,99766.08187,10.02344666,62,rory_lab_fri4,3
8:57:33,61,341,99766.08187,10.02344666,62,rory_lab_fri4,3
8:57:34,62,340,99069.76744,10.09389671,62,rory_lab_fri4,3
8:57:35,63,338,97701.14943,10.23529412,62,rory_lab_fri4,3
8:57:36,64,337,97028.57143,10.30624264,62,rory_lab_fri4,3
8:57:37,65,336,96363.63636,10.37735849,62,rory_lab_fri4,3
8:57:38,66,335,95706.21469,10.44864227,62,rory_lab_fri4,3
8:57:39,67,336,96363.63636,10.37735849,62,rory_lab_fri4,3
8:57:40,68,337,97028.57143,10.30624264,62,rory_lab_fri4,3
8:57:41,69,337,97028.57143,10.30624264,62,rory_lab_fri4,3
8:57:42,70,337,97028.57143,10.30624264,62,rory_lab_fri4,3
8:57:43,71,336,96363.63636,10.37735849,62,rory_lab_fri4,3
8:57:44,72,336,96363.63636,10.37735849,62,rory_lab_fri4,3
8:57:45,73,334,95056.17978,10.52009456,62,rory_lab_fri4,3
8:57:46,74,337,97028.57143,10.30624264,62,rory_lab_fri4,3
8:57:47,75,332,93777.77778,10.66350711,62,rory_lab_fri4,3
8:57:48,76,332,93777.77778,10.66350711,62,rory_lab_fri4,3
8:57:49,77,331,93149.17127,10.73546856,62,rory_lab_fri4,3
8:57:50,78,331,93149.17127,10.73546856,62,rory_lab_fri4,3
8:57:51,79,333,94413.40782,10.59171598,62,rory_lab_fri4,3
8:57:52,80,331,93149.17127,10.73546856,62,rory_lab_fri4,3
8:57:53,81,331,93149.17127,10.73546856,62,rory_lab_fri4,3
8:57:54,82,330,92527.47253,10.80760095,62,rory_lab_fri4,3
8:57:55,83,330,92527.47253,10.80760095,62,rory_lab_fri4,3
8:57:56,84,330,92527.47253,10.80760095,62,rory_lab_fri4,3
8:57:57,85,330,92527.47253,10.80760095,62,rory_lab_fri4,3
8:57:58,86,330,92527.47253,10.80760095,62,rory_lab_fri4,3
8:57:59,87,330,92527.47253,10.80760095,62,rory_lab_fri4,3
8:58:00,88,329,91912.56831,10.87990488,62,rory_lab_fri4,3
8:58:01,89,329,91912.56831,10.87990488,62,rory_lab_fri4,3
8:58:02,90,327,90702.7027,11.0250298,62,rory_lab_fri4,3
8:58:04,91,327,90702.7027,11.0250298,62,rory_lab_fri4,3
8:58:05,92,327,90702.7027,11.0250298,62,rory_lab_fri4,3
8:58:06,93,328,91304.34783,10.95238095,62,rory_lab_fri4,3
8:58:07,94,327,90702.7027,11.0250298,62,rory_lab_fri4,3
8:58:08,95,326,90107.52688,11.09785203,62,rory_lab_fri4,3
8:58:09,96,327,90702.7027,11.0250298,62,rory_lab_fri4,3
8:58:10,97,326,90107.52688,11.09785203,62,rory_lab_fri4,3
8:58:11,98,324,88936.17021,11.24401914,62,rory_lab_fri4,3
8:58:12,99,324,88936.17021,11.24401914,62,rory_lab_fri4,3
8:58:13,100,325,89518.71658,11.17084827,62,rory_lab_fri4,3
8:58:14,101,326,90107.52688,11.09785203,62,rory_lab_fri4,3
8:58:15,102,325,89518.71658,11.17084827,62,rory_lab_fri4,3
8:58:16,103,324,88936.17021,11.24401914,62,rory_lab_fri4,3
8:58:17,104,331,93149.17127,10.73546856,62,rory_lab_fri4,3
8:58:18,105,331,93149.17127,10.73546856,69,rory_lab_fri4_1,4
8:58:19,106,325,89518.71658,11.17084827,69,rory_lab_fri4_1,4
8:58:20,107,324,88936.17021,11.24401914,69,rory_lab_fri4_1,4
8:58:21,108,324,88936.17021,11.24401914,67,rory_lab_fri4_1,4
8:58:22,109,324,88936.17021,11.24401914,70,rory_lab_fri4_1,4
8:58:23,110,324,88936.17021,11.24401914,70,rory_lab_fri4_1,4
8:58:24,111,324,88936.17021,11.24401914,70,rory_lab_fri4_1,4
8:58:25,112,324,88936.17021,11.24401914,70,rory_lab_fri4_1,4
8:58:26,113,323,88359.78836,11.31736527,70,rory_lab_fri4_1,4
8:58:27,114,322,87789.47368,11.39088729,70,rory_lab_fri4_1,4
8:58:28,115,323,88359.78836,11.31736527,70,rory_lab_fri4_1,4
8:58:29,116,323,88359.78836,11.31736527,70,rory_lab_fri4_1,4
8:58:30,117,324,88936.17021,11.24401914,70,rory_lab_fri4_1,4
8:58:31,118,324,88936.17021,11.24401914,70,rory_lab_fri4_1,4
8:58:32,119,324,88936.17021,11.24401914,70,rory_lab_fri4_1,4
8:58:33,120,324,88936.17021,11.24401914,70,rory_lab_fri4_1,4
8:58:34,121,324,88936.17021,11.24401914,70,rory_lab_fri4_1,4
8:58:35,122,326,90107.52688,11.09785203,70,rory_lab_fri4_1,4
8:58:36,123,326,90107.52688,11.09785203,70,rory_lab_fri4_1,4
8:58:37,124,326,90107.52688,11.09785203,70,rory_lab_fri4_1,4
8:58:38,125,325,89518.71658,11.17084827,70,rory_lab_fri4_1,4
8:58:39,126,325,89518.71658,11.17084827,70,rory_lab_fri4_1,4
8:58:40,127,325,89518.71658,11.17084827,70,rory_lab_fri4_1,4
8:58:41,128,322,87789.47368,11.39088729,70,rory_lab_fri4_1,4
8:58:42,129,325,89518.71658,11.17084827,70,rory_lab_fri4_1,4
8:58:43,130,324,88936.17021,11.24401914,70,rory_lab_fri4_1,4
8:58:44,131,325,89518.71658,11.17084827,70,rory_lab_fri4_1,4
8:58:45,132,326,90107.52688,11.09785203,70,rory_lab_fri4_1,4
8:58:46,133,324,88936.17021,11.24401914,70,rory_lab_fri4_1,4
8:58:47,134,325,89518.71658,11.17084827,70,rory_lab_fri4_1,4
8:58:48,135,321,87225.13089,11.46458583,70,rory_lab_fri4_1,4
8:58:49,136,318,85567.01031,11.68674699,70,rory_lab_fri4_1,4
8:58:51,137,317,85025.64103,11.76115802,70,rory_lab_fri4_1,4
8:58:52,138,315,83959.39086,11.91051995,70,rory_lab_fri4_1,4
8:58:53,139,310,81386.13861,12.28710462,70,rory_lab_fri4_1,4
