Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,Section,Stressed
8:03:23,2,510,10220000,0.097847358,79,wed_lab_5_1,4
8:03:24,3,510,10220000,0.097847358,79,wed_lab_5_1,4
8:03:25,4,510,10220000,0.097847358,79,wed_lab_5_1,4
8:03:26,5,509,6806666.667,0.146914789,79,wed_lab_5_1,4
8:03:27,6,510,10220000,0.097847358,79,wed_lab_5_1,4
8:03:28,7,509,6806666.667,0.146914789,79,wed_lab_5_1,4
8:03:29,8,509,6806666.667,0.146914789,79,wed_lab_5_1,4
8:03:30,9,510,10220000,0.097847358,79,wed_lab_5_1,4
8:03:31,10,510,10220000,0.097847358,79,wed_lab_5_1,4
8:03:32,11,507,4076000,0.245338567,79,wed_lab_5_1,4
8:03:33,12,507,4076000,0.245338567,79,wed_lab_5_1,4
8:03:34,13,506,3393333.333,0.294695481,79,wed_lab_5_1,4
8:03:35,14,504,2540000,0.393700787,79,wed_lab_5_1,4
8:03:36,15,502,2028000,0.493096647,79,wed_lab_5_1,4
8:03:37,16,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:38,17,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:39,18,504,2540000,0.393700787,79,wed_lab_5_1,4
8:03:40,19,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:41,20,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:42,21,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:43,22,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:44,23,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:45,24,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:46,25,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:47,26,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:48,27,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:49,28,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:50,29,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:51,30,503,2255555.556,0.443349754,79,wed_lab_5_1,4
8:03:52,31,503,2255555.556,0.443349754,76,wed_lab_5_1,4
8:03:53,32,503,2255555.556,0.443349754,76,wed_lab_5_1,4
8:03:54,33,503,2255555.556,0.443349754,76,wed_lab_5_1,4
8:03:55,34,503,2255555.556,0.443349754,76,wed_lab_5_1,4
8:03:56,35,502,2028000,0.493096647,76,wed_lab_5_1,4
8:03:57,36,502,2028000,0.493096647,76,wed_lab_5_1,4
