Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,Section,Stressed
12:00:00,1,238,54744.52555,18.26666667,80,lec_tues_0,4
12:00:01,2,238,54744.52555,18.26666667,80,lec_tues_0,4
12:00:02,3,237,54472.72727,18.35781041,79,lec_tues_0,4
12:00:03,4,238,54744.52555,18.26666667,80,lec_tues_0,4
12:00:04,5,237,54472.72727,18.35781041,79,lec_tues_0,4
12:00:05,6,238,54744.52555,18.26666667,80,lec_tues_0,4
12:00:06,7,237,54472.72727,18.35781041,79,lec_tues_0,4
12:00:07,8,238,54744.52555,18.26666667,80,lec_tues_0,4
12:00:08,9,237,54472.72727,18.35781041,79,lec_tues_0,4
12:00:09,10,238,54744.52555,18.26666667,80,lec_tues_0,4
12:00:10,11,237,54472.72727,18.35781041,79,lec_tues_0,4
12:00:11,12,238,54744.52555,18.26666667,80,lec_tues_0,4
12:00:12,13,237,54472.72727,18.35781041,79,lec_tues_0,4
12:00:13,14,237,54472.72727,18.35781041,79,lec_tues_0,4
12:00:14,15,238,54744.52555,18.26666667,80,lec_tues_0,4
12:00:15,16,237,54472.72727,18.35781041,79,lec_tues_0,4
12:00:16,17,237,54472.72727,18.35781041,82,lec_tues_0,4
12:00:17,18,237,54472.72727,18.35781041,87,lec_tues_0,4
12:00:18,19,238,54744.52555,18.26666667,86,lec_tues_0,4
12:00:19,20,238,54744.52555,18.26666667,85,lec_tues_0,4
12:00:20,21,237,54472.72727,18.35781041,85,lec_tues_0,4
12:00:21,22,238,54744.52555,18.26666667,85,lec_tues_0,4
12:00:22,23,238,54744.52555,18.26666667,85,lec_tues_0,4
12:00:23,24,237,54472.72727,18.35781041,85,lec_tues_0,4
12:00:24,25,238,54744.52555,18.26666667,88,lec_tues_0,4
12:00:25,26,238,54744.52555,18.26666667,88,lec_tues_0,4
12:00:26,27,238,54744.52555,18.26666667,101,lec_tues_0,4
12:00:27,28,239,55018.31502,18.17576565,101,lec_tues_0,4
12:00:28,29,238,54744.52555,18.26666667,100,lec_tues_0,4
12:00:29,30,239,55018.31502,18.17576565,101,lec_tues_0,4
12:00:30,31,239,55018.31502,18.17576565,101,lec_tues_0,4
12:00:31,32,240,55294.11765,18.08510638,101,lec_tues_0,4
12:00:32,33,238,54744.52555,18.26666667,101,lec_tues_0,4
12:00:33,34,237,54472.72727,18.35781041,92,lec_tues_0,4
12:00:34,35,236,54202.89855,18.44919786,94,lec_tues_0,4
12:00:35,36,236,54202.89855,18.44919786,94,lec_tues_0,4
12:00:36,37,236,54202.89855,18.44919786,94,lec_tues_0,4
12:00:37,38,237,54472.72727,18.35781041,94,lec_tues_0,4
12:00:38,39,236,54202.89855,18.44919786,98,lec_tues_0,4
12:00:39,40,237,54472.72727,18.35781041,91,lec_tues_0,4
12:00:40,41,236,54202.89855,18.44919786,86,lec_tues_0,4
12:00:41,42,237,54472.72727,18.35781041,85,lec_tues_0,4
12:00:42,43,237,54472.72727,18.35781041,80,lec_tues_0,4
12:00:43,44,237,54472.72727,18.35781041,85,lec_tues_0,4
12:00:44,45,237,54472.72727,18.35781041,84,lec_tues_0,4
12:00:45,46,237,54472.72727,18.35781041,82,lec_tues_0,4
12:00:46,47,237,54472.72727,18.35781041,78,lec_tues_0,4
12:00:47,48,237,54472.72727,18.35781041,78,lec_tues_0,4
12:00:48,49,237,54472.72727,18.35781041,78,lec_tues_0,4
12:00:49,50,237,54472.72727,18.35781041,78,lec_tues_0,4
12:00:50,51,237,54472.72727,18.35781041,78,lec_tues_0,4
12:00:51,52,238,54744.52555,18.26666667,72,lec_tues_0,4
12:00:52,53,238,54744.52555,18.26666667,75,lec_tues_0,4
12:00:53,54,238,54744.52555,18.26666667,75,lec_tues_0,4
12:00:54,55,239,55018.31502,18.17576565,78,lec_tues_0,4
12:00:55,56,238,54744.52555,18.26666667,73,lec_tues_0,4
12:00:56,57,239,55018.31502,18.17576565,72,lec_tues_0,4
12:00:57,58,241,55571.95572,17.99468792,76,lec_tues_0,4
12:00:58,59,235,53935.01805,18.54082999,76,lec_tues_0,4
12:00:59,60,230,52624.11348,19.00269542,76,lec_tues_0,4
12:01:00,61,225,51358.88502,19.47082768,94,lec_tues_0,4
12:01:01,62,225,51358.88502,19.47082768,94,lec_tues_0,4
12:01:02,63,223,50865.0519,19.65986395,94,lec_tues_0,4
12:01:03,64,222,50620.68966,19.75476839,94,lec_tues_0,4
12:01:04,65,223,50865.0519,19.65986395,94,lec_tues_0,4
12:01:05,66,223,50865.0519,19.65986395,94,lec_tues_0,4
12:01:06,67,223,50865.0519,19.65986395,94,lec_tues_0,4
