Time (s),Serial data,Resistance
1,510,10220000.0
2,508,5100000.0
3,510,10220000.0
4,509,6806666.666666666
5,507,4076000.0
6,509,6806666.666666666
7,509,6806666.666666666
8,508,5100000.0
9,509,6806666.666666666
10,509,6806666.666666666
11,508,5100000.0
12,510,10220000.0
13,509,6806666.666666666
14,508,5100000.0
15,510,10220000.0
16,508,5100000.0
17,509,6806666.666666666
18,508,5100000.0
19,508,5100000.0
20,507,4076000.0
21,508,5100000.0
22,508,5100000.0
23,507,4076000.0
24,508,5100000.0
25,510,10220000.0
26,508,5100000.0
27,508,5100000.0
28,509,6806666.666666666
29,509,6806666.666666666
30,509,6806666.666666666
31,507,4076000.0
32,508,5100000.0
33,509,6806666.666666666
34,509,6806666.666666666
35,509,6806666.666666666
36,510,10220000.0
37,508,5100000.0
38,508,5100000.0
39,509,6806666.666666666
40,508,5100000.0
41,508,5100000.0
42,509,6806666.666666666
43,509,6806666.666666666
44,509,6806666.666666666
45,509,6806666.666666666
46,509,6806666.666666666
47,508,5100000.0
48,509,6806666.666666666
49,509,6806666.666666666
50,509,6806666.666666666
