Time (s),Serial data,Resistance
1,437,253066.6666666667
2,436,249473.6842105263
3,436,249473.6842105263
4,436,249473.6842105263
5,437,253066.6666666667
6,435,245974.02597402598
7,435,245974.02597402598
8,434,242564.10256410256
9,433,239240.5063291139
10,433,239240.5063291139
11,433,239240.5063291139
12,434,242564.10256410256
13,433,239240.5063291139
14,432,236000.0
15,432,236000.0
16,430,229756.0975609756
17,431,232839.5061728395
18,432,236000.0
19,432,236000.0
20,430,229756.0975609756
21,429,226746.98795180724
22,431,232839.5061728395
23,429,226746.98795180724
24,429,226746.98795180724
25,429,226746.98795180724
26,429,226746.98795180724
27,429,226746.98795180724
28,428,223809.5238095238
29,427,220941.17647058822
30,427,220941.17647058822
31,427,220941.17647058822
32,425,215402.2988505747
33,427,220941.17647058822
34,426,218139.53488372092
35,425,215402.2988505747
36,426,218139.53488372092
37,425,215402.2988505747
38,425,215402.2988505747
39,424,212727.27272727274
40,424,212727.27272727274
41,423,210112.35955056178
42,422,207555.55555555556
43,422,207555.55555555556
44,422,207555.55555555556
45,423,210112.35955056178
46,422,207555.55555555556
47,421,205054.94505494507
48,423,210112.35955056178
49,422,207555.55555555556
50,422,207555.55555555556
51,421,205054.94505494507
52,420,202608.69565217392
53,421,205054.94505494507
54,420,202608.69565217392
55,421,205054.94505494507
56,419,200215.05376344087
57,419,200215.05376344087
58,418,197872.3404255319
59,420,202608.69565217392
60,417,195578.94736842104
61,420,202608.69565217392
62,418,197872.3404255319
63,418,197872.3404255319
64,418,197872.3404255319
65,417,195578.94736842104
66,417,195578.94736842104
67,417,195578.94736842104
68,417,195578.94736842104
69,416,193333.3333333333
70,416,193333.3333333333
71,417,195578.94736842104
72,416,193333.3333333333
73,416,193333.3333333333
74,416,193333.3333333333
75,416,193333.3333333333
76,415,191134.0206185567
77,415,191134.0206185567
78,416,193333.3333333333
79,414,188979.59183673467
80,414,188979.59183673467
81,413,186868.6868686869
82,413,186868.6868686869
83,414,188979.59183673467
84,413,186868.6868686869
85,413,186868.6868686869
86,413,186868.6868686869
87,412,184800.0
88,412,184800.0
89,413,186868.6868686869
90,412,184800.0
91,412,184800.0
92,412,184800.0
93,411,182772.27722772278
94,411,182772.27722772278
95,411,182772.27722772278
96,411,182772.27722772278
97,411,182772.27722772278
98,411,182772.27722772278
99,411,182772.27722772278
100,411,182772.27722772278
