Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,Section,Stressed
10:26:22,2,396,156551.7241,6.387665198,80,sun_data_1,4
10:26:23,3,396,156551.7241,6.387665198,80,sun_data_1,4
10:26:24,4,396,156551.7241,6.387665198,80,sun_data_1,4
10:26:25,5,396,156551.7241,6.387665198,80,sun_data_1,4
10:26:26,6,396,156551.7241,6.387665198,82,sun_data_1,4
10:26:27,7,396,156551.7241,6.387665198,82,sun_data_1,4
10:26:28,8,395,155042.735,6.44983462,82,sun_data_1,4
10:26:29,9,395,155042.735,6.44983462,82,sun_data_1,4
10:26:30,10,395,155042.735,6.44983462,82,sun_data_1,4
10:26:31,11,395,155042.735,6.44983462,82,sun_data_1,4
10:26:32,12,395,155042.735,6.44983462,82,sun_data_1,4
10:26:33,13,393,152100.8403,6.574585635,85,sun_data_1,4
10:26:34,14,395,155042.735,6.44983462,88,sun_data_1,4
10:26:35,15,394,153559.322,6.51214128,93,sun_data_1,4
10:26:36,16,395,155042.735,6.44983462,86,sun_data_1,4
10:26:37,17,395,155042.735,6.44983462,91,sun_data_1,4
10:26:38,18,394,153559.322,6.51214128,91,sun_data_1,4
10:26:39,19,394,153559.322,6.51214128,91,sun_data_1,4
10:26:40,20,394,153559.322,6.51214128,91,sun_data_1,4
10:26:42,21,394,153559.322,6.51214128,92,sun_data_1,4
10:26:43,22,393,152100.8403,6.574585635,91,sun_data_1,4
10:26:44,23,393,152100.8403,6.574585635,91,sun_data_1,4
10:26:45,24,393,152100.8403,6.574585635,91,sun_data_1,4
10:26:46,25,394,153559.322,6.51214128,90,sun_data_1,4
10:26:47,26,394,153559.322,6.51214128,90,sun_data_1,4
10:26:48,27,393,152100.8403,6.574585635,91,sun_data_1,4
10:26:49,28,394,153559.322,6.51214128,88,sun_data_1,4
10:26:50,29,394,153559.322,6.51214128,85,sun_data_1,4
10:26:51,30,394,153559.322,6.51214128,79,sun_data_1,4
10:26:52,31,394,153559.322,6.51214128,77,sun_data_1,4
10:26:53,32,394,153559.322,6.51214128,74,sun_data_1,4
10:26:54,33,394,153559.322,6.51214128,77,sun_data_1,4
10:26:55,34,394,153559.322,6.51214128,74,sun_data_1,4
10:26:56,35,394,153559.322,6.51214128,77,sun_data_1,4
10:26:57,36,394,153559.322,6.51214128,76,sun_data_1,4
10:26:58,37,393,152100.8403,6.574585635,74,sun_data_1,4
10:26:59,38,392,150666.6667,6.637168142,74,sun_data_1,4
10:27:00,39,392,150666.6667,6.637168142,74,sun_data_1,4
10:27:01,40,390,147868.8525,6.762749446,74,sun_data_1,4
10:27:02,41,390,147868.8525,6.762749446,74,sun_data_1,4
10:27:03,42,390,147868.8525,6.762749446,73,sun_data_1,4
10:27:04,43,390,147868.8525,6.762749446,73,sun_data_1,4
10:27:05,44,389,146504.065,6.825749168,73,sun_data_1,4
10:27:06,45,389,146504.065,6.825749168,73,sun_data_1,4
10:27:07,46,390,147868.8525,6.762749446,73,sun_data_1,4
10:27:08,47,389,146504.065,6.825749168,73,sun_data_1,4
10:27:09,48,389,146504.065,6.825749168,73,sun_data_1,4
10:27:10,49,388,145161.2903,6.888888889,73,sun_data_1,4
10:27:11,50,388,145161.2903,6.888888889,73,sun_data_1,4
10:27:12,51,387,143840,6.952169077,69,sun_data_1,4
10:27:13,52,387,143840,6.952169077,69,sun_data_1,4
10:27:14,53,388,145161.2903,6.888888889,71,sun_data_1,4
10:27:15,54,387,143840,6.952169077,71,sun_data_1,4
10:27:16,55,387,143840,6.952169077,71,sun_data_1,4
10:27:17,56,387,143840,6.952169077,76,sun_data_1,4
10:27:18,57,387,143840,6.952169077,75,sun_data_1,4
10:27:19,58,387,143840,6.952169077,77,sun_data_1,4
10:27:20,59,387,143840,6.952169077,77,sun_data_1,4
10:27:21,60,388,145161.2903,6.888888889,77,sun_data_1,4
10:27:22,61,387,143840,6.952169077,75,sun_data_1,4
10:27:23,62,387,143840,6.952169077,75,sun_data_1,4
10:27:24,63,388,145161.2903,6.888888889,75,sun_data_1,4
10:27:25,64,388,145161.2903,6.888888889,75,sun_data_1,4
10:27:26,65,387,143840,6.952169077,75,sun_data_1,4
10:27:27,66,388,145161.2903,6.888888889,75,sun_data_1,4
10:27:28,67,388,145161.2903,6.888888889,75,sun_data_1,4
10:27:29,68,388,145161.2903,6.888888889,75,sun_data_1,4
10:27:30,69,387,143840,6.952169077,75,sun_data_1,4
10:27:31,70,387,143840,6.952169077,75,sun_data_1,4
10:27:32,71,387,143840,6.952169077,75,sun_data_1,4
10:27:33,72,386,142539.6825,7.0155902,75,sun_data_1,4
10:27:34,73,386,142539.6825,7.0155902,80,sun_data_1,4
10:27:35,74,387,143840,6.952169077,82,sun_data_1,4
10:27:36,75,385,141259.8425,7.079152731,82,sun_data_1,4
10:27:37,76,385,141259.8425,7.079152731,75,sun_data_1,4
10:27:38,77,384,140000,7.142857143,79,sun_data_1,4
10:27:39,78,385,141259.8425,7.079152731,78,sun_data_1,4
10:27:40,79,384,140000,7.142857143,77,sun_data_1,4
10:27:41,80,385,141259.8425,7.079152731,76,sun_data_1,4
10:27:42,81,384,140000,7.142857143,79,sun_data_1,4
10:27:43,82,384,140000,7.142857143,82,sun_data_1,4
10:27:44,83,384,140000,7.142857143,80,sun_data_1,4
10:27:45,84,384,140000,7.142857143,80,sun_data_1,4
10:27:46,85,384,140000,7.142857143,81,sun_data_1,4
10:27:47,86,383,138759.6899,7.206703911,81,sun_data_1,4
10:27:48,87,383,138759.6899,7.206703911,81,sun_data_1,4
10:27:49,88,383,138759.6899,7.206703911,81,sun_data_1,4
10:27:50,89,383,138759.6899,7.206703911,81,sun_data_1,4
10:27:51,90,383,138759.6899,7.206703911,81,sun_data_1,4
10:27:52,91,384,140000,7.142857143,81,sun_data_1,4
10:27:53,92,383,138759.6899,7.206703911,81,sun_data_1,4
10:27:54,93,382,137538.4615,7.270693512,81,sun_data_1,4
10:27:55,94,383,138759.6899,7.206703911,81,sun_data_1,4
10:27:56,95,383,138759.6899,7.206703911,81,sun_data_1,4
10:27:57,96,382,137538.4615,7.270693512,81,sun_data_1,4
10:27:58,97,380,135151.5152,7.399103139,81,sun_data_1,4
10:27:59,98,380,135151.5152,7.399103139,85,sun_data_1,4
10:28:00,99,380,135151.5152,7.399103139,85,sun_data_1,4
10:28:01,100,381,136335.8779,7.334826428,85,sun_data_1,4
10:28:02,101,381,136335.8779,7.334826428,85,sun_data_1,4
10:28:03,102,381,136335.8779,7.334826428,85,sun_data_1,4
10:28:04,103,381,136335.8779,7.334826428,85,sun_data_1,4
10:28:05,104,381,136335.8779,7.334826428,85,sun_data_1,4
10:28:06,105,380,135151.5152,7.399103139,85,sun_data_1,4
10:28:07,106,379,133984.9624,7.46352413,85,sun_data_1,4
10:28:08,107,378,132835.8209,7.528089888,85,sun_data_1,4
10:28:09,108,377,131703.7037,7.5928009,85,sun_data_1,4
10:28:10,109,377,131703.7037,7.5928009,85,sun_data_1,4
10:28:11,110,378,132835.8209,7.528089888,85,sun_data_1,4
10:28:12,111,379,133984.9624,7.46352413,85,sun_data_1,4
10:28:13,112,378,132835.8209,7.528089888,85,sun_data_1,4
10:28:14,113,378,132835.8209,7.528089888,85,sun_data_1,4
10:28:15,114,379,133984.9624,7.46352413,85,sun_data_1,4
10:28:16,115,377,131703.7037,7.5928009,85,sun_data_1,4
10:28:17,116,375,129489.0511,7.722660654,85,sun_data_1,4
10:28:18,117,375,129489.0511,7.722660654,85,sun_data_1,4
10:28:19,118,380,135151.5152,7.399103139,85,sun_data_1,4
10:28:20,119,378,132835.8209,7.528089888,85,sun_data_1,4
10:28:21,120,377,131703.7037,7.5928009,85,sun_data_1,4
10:28:22,121,377,131703.7037,7.5928009,85,sun_data_1,4
10:28:23,122,378,132835.8209,7.528089888,85,sun_data_1,4
10:28:24,123,377,131703.7037,7.5928009,85,sun_data_1,4
10:28:25,124,378,132835.8209,7.528089888,85,sun_data_1,4
10:28:26,125,378,132835.8209,7.528089888,85,sun_data_1,4
10:28:27,126,380,135151.5152,7.399103139,85,sun_data_1,4
10:28:28,127,380,135151.5152,7.399103139,85,sun_data_1,4
10:28:29,128,380,135151.5152,7.399103139,85,sun_data_1,4
10:28:30,129,378,132835.8209,7.528089888,85,sun_data_1,4
10:28:31,130,378,132835.8209,7.528089888,85,sun_data_1,4
10:28:32,131,378,132835.8209,7.528089888,85,sun_data_1,4
10:28:33,132,377,131703.7037,7.5928009,85,sun_data_1,4
10:28:34,133,377,131703.7037,7.5928009,84,sun_data_1,4
10:28:35,134,376,130588.2353,7.657657658,84,sun_data_1,4
10:28:36,135,377,131703.7037,7.5928009,84,sun_data_1,4
10:28:37,136,376,130588.2353,7.657657658,84,sun_data_1,4
10:28:38,137,376,130588.2353,7.657657658,84,sun_data_1,4
10:28:39,138,375,129489.0511,7.722660654,84,sun_data_1,4
10:28:40,139,375,129489.0511,7.722660654,84,sun_data_1,4
10:28:42,140,376,130588.2353,7.657657658,84,sun_data_1,4
10:28:43,141,375,129489.0511,7.722660654,84,sun_data_1,4
10:28:44,142,375,129489.0511,7.722660654,84,sun_data_1,4
10:28:45,143,375,129489.0511,7.722660654,84,sun_data_1,4
10:28:46,144,374,128405.7971,7.787810384,84,sun_data_1,4
10:28:47,145,374,128405.7971,7.787810384,86,sun_data_1,4
10:28:48,146,375,129489.0511,7.722660654,86,sun_data_1,4
10:28:49,147,374,128405.7971,7.787810384,86,sun_data_1,4
10:28:50,148,374,128405.7971,7.787810384,86,sun_data_1,4
10:28:51,149,373,127338.1295,7.853107345,89,sun_data_1,4
10:28:52,150,372,126285.7143,7.918552036,89,sun_data_1,4
10:28:53,151,371,125248.227,7.98414496,89,sun_data_1,4
10:28:54,152,371,125248.227,7.98414496,89,sun_data_1,4
10:28:55,153,371,125248.227,7.98414496,89,sun_data_1,4
10:28:56,154,371,125248.227,7.98414496,88,sun_data_1,4
10:28:57,155,372,126285.7143,7.918552036,88,sun_data_1,4
10:28:58,156,372,126285.7143,7.918552036,88,sun_data_1,4
10:28:59,157,372,126285.7143,7.918552036,88,sun_data_1,4
10:29:00,158,372,126285.7143,7.918552036,87,sun_data_1,4
10:29:01,159,373,127338.1295,7.853107345,87,sun_data_1,4
