Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,Section,Stressed
14:09:50,1,285,70220.26432,14.24090339,78,tut_fri4_1,4
14:09:51,2,283,69432.31441,14.40251572,78,tut_fri4_1,4
14:09:52,3,283,69432.31441,14.40251572,78,tut_fri4_1,4
14:09:53,4,283,69432.31441,14.40251572,78,tut_fri4_1,4
14:09:54,5,283,69432.31441,14.40251572,78,tut_fri4_1,4
14:09:55,6,283,69432.31441,14.40251572,80,tut_fri4_1,4
14:09:56,7,283,69432.31441,14.40251572,80,tut_fri4_1,4
14:09:57,8,283,69432.31441,14.40251572,80,tut_fri4_1,4
14:09:58,9,299,76150.23474,13.13193588,80,tut_fri4_1,4
14:09:59,10,291,72669.68326,13.76089664,80,tut_fri4_1,4
14:10:00,11,292,73090.90909,13.68159204,81,tut_fri4_1,4
14:10:01,12,291,72669.68326,13.76089664,76,tut_fri4_1,4
14:10:02,13,290,72252.25225,13.840399,75,tut_fri4_1,4
14:10:03,14,291,72669.68326,13.76089664,75,tut_fri4_1,4
14:10:04,15,290,72252.25225,13.840399,76,tut_fri4_1,4
14:10:05,16,290,72252.25225,13.840399,76,tut_fri4_1,4
14:10:06,17,290,72252.25225,13.840399,76,tut_fri4_1,4
14:10:07,18,291,72669.68326,13.76089664,75,tut_fri4_1,4
14:10:08,19,297,75255.81395,13.28800989,75,tut_fri4_1,4
14:10:10,20,296,74814.81481,13.36633663,75,tut_fri4_1,4
14:10:11,21,290,72252.25225,13.840399,69,tut_fri4_1,4
14:10:12,22,289,71838.56502,13.92009988,64,tut_fri4_1,4
14:10:13,23,285,70220.26432,14.24090339,64,tut_fri4_1,4
14:10:14,24,284,69824.5614,14.32160804,64,tut_fri4_1,4
14:10:15,25,283,69432.31441,14.40251572,64,tut_fri4_1,4
14:10:16,26,284,69824.5614,14.32160804,64,tut_fri4_1,4
14:10:17,27,283,69432.31441,14.40251572,64,tut_fri4_1,4
14:10:18,28,283,69432.31441,14.40251572,64,tut_fri4_1,4
14:10:19,29,283,69432.31441,14.40251572,64,tut_fri4_1,4
14:10:20,30,283,69432.31441,14.40251572,64,tut_fri4_1,4
14:10:21,31,285,70220.26432,14.24090339,62,tut_fri4_1,4
14:10:22,32,295,74377.88018,13.4448575,62,tut_fri4_1,4
14:10:23,33,296,74814.81481,13.36633663,62,tut_fri4_1,4
14:10:24,34,290,72252.25225,13.840399,62,tut_fri4_1,4
14:10:25,35,299,76150.23474,13.13193588,62,tut_fri4_1,4
14:10:26,36,294,73944.95413,13.5235732,61,tut_fri4_1,4
14:10:27,37,299,76150.23474,13.13193588,61,tut_fri4_1,4
14:10:28,38,304,78461.53846,12.74509804,61,tut_fri4_1,4
14:10:29,39,300,76603.77358,13.05418719,61,tut_fri4_1,4
14:10:30,40,294,73944.95413,13.5235732,61,tut_fri4_1,4
14:10:31,41,292,73090.90909,13.68159204,61,tut_fri4_1,4
14:10:32,42,291,72669.68326,13.76089664,61,tut_fri4_1,4
14:10:33,43,290,72252.25225,13.840399,61,tut_fri4_1,4
14:10:34,44,290,72252.25225,13.840399,61,tut_fri4_1,4
14:10:35,45,289,71838.56502,13.92009988,61,tut_fri4_1,4
14:10:36,46,286,70619.46903,14.160401,61,tut_fri4_1,4
14:10:37,47,285,70220.26432,14.24090339,61,tut_fri4_1,4
14:10:38,48,284,69824.5614,14.32160804,61,tut_fri4_1,4
14:10:39,49,285,70220.26432,14.24090339,61,tut_fri4_1,4
14:10:41,50,284,69824.5614,14.32160804,61,tut_fri4_1,4
14:10:42,51,284,69824.5614,14.32160804,62,tut_fri4_1,4
14:10:43,52,284,69824.5614,14.32160804,62,tut_fri4_1,4
14:10:44,53,284,69824.5614,14.32160804,62,tut_fri4_1,4
14:10:45,54,284,69824.5614,14.32160804,62,tut_fri4_1,4
14:10:46,55,284,69824.5614,14.32160804,62,tut_fri4_1,4
14:10:47,56,286,70619.46903,14.160401,62,tut_fri4_1,4
14:10:48,57,281,68658.00866,14.56494325,62,tut_fri4_1,4
14:10:49,58,282,69043.47826,14.4836272,62,tut_fri4_1,4
14:10:50,59,279,67896.99571,14.72819216,62,tut_fri4_1,4
14:10:51,60,280,68275.86207,14.64646465,62,tut_fri4_1,4
14:10:52,61,280,68275.86207,14.64646465,62,tut_fri4_1,4
14:10:53,62,278,67521.36752,14.81012658,62,tut_fri4_1,4
14:10:54,63,277,67148.93617,14.89226869,62,tut_fri4_1,4
14:10:55,64,274,66050.42017,15.13994911,62,tut_fri4_1,4
14:10:56,65,275,66413.50211,15.05717916,62,tut_fri4_1,4
14:10:57,66,277,67148.93617,14.89226869,58,tut_fri4_1,4
14:10:58,67,277,67148.93617,14.89226869,58,tut_fri4_1,4
14:10:59,68,276,66779.66102,14.97461929,58,tut_fri4_1,4
14:11:00,69,274,66050.42017,15.13994911,58,tut_fri4_1,4
14:11:01,70,274,66050.42017,15.13994911,58,tut_fri4_1,4
14:11:02,71,273,65690.37657,15.22292994,58,tut_fri4_1,4
14:11:03,72,273,65690.37657,15.22292994,60,tut_fri4_1,4
