Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,Section,Stressed
13:00:00,1,243,56133.829,17.81456954,73,tut_wed_4_0,2
13:00:01,2,243,56133.829,17.81456954,73,tut_wed_4_0,2
13:00:02,3,244,56417.91045,17.72486772,73,tut_wed_4_0,2
13:00:03,4,243,56133.829,17.81456954,75,tut_wed_4_0,2
13:00:04,5,243,56133.829,17.81456954,73,tut_wed_4_0,2
13:00:05,6,243,56133.829,17.81456954,73,tut_wed_4_0,2
13:00:06,7,244,56417.91045,17.72486772,73,tut_wed_4_0,2
13:00:07,8,243,56133.829,17.81456954,75,tut_wed_4_0,2
13:00:08,9,243,56133.829,17.81456954,73,tut_wed_4_0,2
13:00:09,10,243,56133.829,17.81456954,73,tut_wed_4_0,2
13:00:10,11,244,56417.91045,17.72486772,73,tut_wed_4_0,2
13:00:11,12,243,56133.829,17.81456954,75,tut_wed_4_0,2
13:00:12,13,244,56417.91045,17.72486772,72,tut_wed_4_0,2
13:00:13,14,244,56417.91045,17.72486772,72,tut_wed_4_0,2
13:00:14,15,244,56417.91045,17.72486772,73,tut_wed_4_0,2
13:00:15,16,244,56417.91045,17.72486772,72,tut_wed_4_0,2
13:00:16,17,245,56704.11985,17.63540291,72,tut_wed_4_0,2
13:00:17,18,245,56704.11985,17.63540291,71,tut_wed_4_0,2
13:00:18,19,245,56704.11985,17.63540291,70,tut_wed_4_0,2
13:00:19,20,245,56704.11985,17.63540291,70,tut_wed_4_0,2
13:00:20,21,246,56992.4812,17.54617414,69,tut_wed_4_0,2
13:00:21,22,245,56704.11985,17.63540291,69,tut_wed_4_0,2
13:00:22,23,251,58467.43295,17.10353866,69,tut_wed_4_0,2
13:00:23,24,255,59688.71595,16.7535854,69,tut_wed_4_0,2
13:00:24,25,253,59073.35907,16.92810458,69,tut_wed_4_0,2
13:00:25,26,250,58167.93893,17.19160105,69,tut_wed_4_0,2
13:00:26,27,248,57575.75758,17.36842105,69,tut_wed_4_0,2
13:00:27,28,247,57283.01887,17.4571805,69,tut_wed_4_0,2
13:00:28,29,245,56704.11985,17.63540291,69,tut_wed_4_0,2
13:00:29,30,247,57283.01887,17.4571805,69,tut_wed_4_0,2
13:00:30,31,247,57283.01887,17.4571805,69,tut_wed_4_0,2
13:00:31,32,246,56992.4812,17.54617414,69,tut_wed_4_0,2
13:00:32,33,247,57283.01887,17.4571805,69,tut_wed_4_0,2
13:00:33,34,246,56992.4812,17.54617414,69,tut_wed_4_0,2
13:00:34,35,248,57575.75758,17.36842105,68,tut_wed_4_0,2
13:00:35,36,246,56992.4812,17.54617414,74,tut_wed_4_0,2
13:00:36,37,245,56704.11985,17.63540291,74,tut_wed_4_0,2
13:00:37,38,246,56992.4812,17.54617414,74,tut_wed_4_0,2
13:00:38,39,244,56417.91045,17.72486772,74,tut_wed_4_0,2
13:00:39,40,246,56992.4812,17.54617414,74,tut_wed_4_0,2
13:00:40,41,278,67521.36752,14.81012658,74,tut_wed_4_0,2
13:00:41,42,252,58769.23077,17.01570681,71,tut_wed_4_0,2
13:00:42,43,247,57283.01887,17.4571805,72,tut_wed_4_0,2
13:00:43,44,246,56992.4812,17.54617414,72,tut_wed_4_0,2
13:00:44,45,244,56417.91045,17.72486772,72,tut_wed_4_0,2
13:00:45,46,244,56417.91045,17.72486772,73,tut_wed_4_0,2
13:00:46,47,243,56133.829,17.81456954,71,tut_wed_4_0,2
13:00:47,48,243,56133.829,17.81456954,70,tut_wed_4_0,2
13:00:48,49,242,55851.85185,17.90450928,70,tut_wed_4_0,2
13:00:49,50,244,56417.91045,17.72486772,70,tut_wed_4_0,2
13:00:50,51,237,54472.72727,18.35781041,70,tut_wed_4_0,2
13:00:51,52,233,53405.01792,18.72483221,70,tut_wed_4_0,2
13:00:52,53,230,52624.11348,19.00269542,74,tut_wed_4_0,2
13:00:53,54,227,51859.64912,19.28281461,67,tut_wed_4_0,2
13:00:54,55,226,51608.39161,19.37669377,71,tut_wed_4_0,2
13:00:55,56,224,51111.11111,19.56521739,71,tut_wed_4_0,2
13:00:56,57,225,51358.88502,19.47082768,72,tut_wed_4_0,2
13:00:57,58,225,51358.88502,19.47082768,72,tut_wed_4_0,2
13:00:58,59,224,51111.11111,19.56521739,76,tut_wed_4_0,2
13:00:59,60,222,50620.68966,19.75476839,73,tut_wed_4_0,2
13:01:00,61,219,49897.61092,20.04103967,72,tut_wed_4_0,2
13:01:01,62,218,49659.86395,20.1369863,73,tut_wed_4_0,2
13:01:02,63,217,49423.72881,20.23319616,72,tut_wed_4_0,2
13:01:03,64,218,49659.86395,20.1369863,70,tut_wed_4_0,2
13:01:04,65,219,49897.61092,20.04103967,71,tut_wed_4_0,2
13:01:05,66,219,49897.61092,20.04103967,71,tut_wed_4_0,2
13:01:06,67,219,49897.61092,20.04103967,68,tut_wed_4_0,2
13:01:07,68,218,49659.86395,20.1369863,69,tut_wed_4_0,2
13:01:08,69,216,49189.18919,20.32967033,67,tut_wed_4_0,2
13:01:09,70,216,49189.18919,20.32967033,66,tut_wed_4_0,2
13:01:10,71,216,49189.18919,20.32967033,66,tut_wed_4_0,2
13:01:11,72,217,49423.72881,20.23319616,66,tut_wed_4_0,2
13:01:12,73,218,49659.86395,20.1369863,65,tut_wed_4_0,2
13:01:13,74,218,49659.86395,20.1369863,66,tut_wed_4_0,2
13:01:14,75,218,49659.86395,20.1369863,67,tut_wed_4_0,2
13:01:15,76,219,49897.61092,20.04103967,66,tut_wed_4_0,2
13:01:16,77,219,49897.61092,20.04103967,66,tut_wed_4_0,2
13:01:17,78,219,49897.61092,20.04103967,67,tut_wed_4_0,2
13:01:18,79,219,49897.61092,20.04103967,68,tut_wed_4_0,2
13:01:19,80,219,49897.61092,20.04103967,69,tut_wed_4_0,2
13:01:20,81,220,50136.9863,19.94535519,69,tut_wed_4_0,2
13:01:21,82,220,50136.9863,19.94535519,69,tut_wed_4_0,2
13:01:22,83,219,49897.61092,20.04103967,69,tut_wed_4_0,2
